preds,trues
1246.6042,283.75
1247.0298,645.4375
1248.0511,376.75006
1246.8922,378.8125
1248.6045,1130.9375
1249.5414,799.5625
1250.731,534.0
1250.2822,379.50006
1248.9344,592.00006
1249.2628,659.125
1249.713,142.84375
1255.741,839.06256
1269.0339,647.875
1267.814,1789.375
1266.1033,1184.9375
1287.8209,1350.4062
1591.8326,1691.5
1604.0306,1707.625
1600.6155,899.5625
1645.1711,1068.6875
1710.7739,977.8125
1715.8885,2125.9688
1715.2686,2930.1875
1710.2812,2385.625
1763.5511,2436.6875
1917.3232,2013.4375
1918.6786,2151.5
1734.8833,1686.625
1747.9795,1177.75
1782.9633,1502.8125
1315.7809,249.15625
1315.6763,481.5
1317.3618,424.9375
1322.2435,429.62506
1322.7711,1171.4375
1322.2946,489.25006
1289.0284,1577.9688
1292.2761,767.43756
1290.2955,873.6875
1291.7681,616.4375
1278.9642,348.75006
1279.3053,284.125
1277.7806,297.0
1258.6986,272.5625
1261.7639,273.9375
1252.4194,359.59375
1255.7286,399.0625
1255.628,1173.5625
1273.0443,957.5625
1270.7482,640.9375
1272.4337,472.06256
1269.3278,690.50006
1271.6531,0.6876221
1271.7148,715.00006
1273.1261,1280.5
1277.8016,452.25006
1274.8298,1632.125
1273.4259,1773.3125
1273.9418,1143.5
1280.1866,769.87506
1275.9723,1564.3125
1275.9794,1243.5
1593.8143,807.31256
1270.5677,27.9375
1272.1555,137.625
1272.8541,179.5625
1288.4216,0.34375
1335.2837,0.0
1335.68,0.0
1246.2438,0.0
1255.8959,0.0
1270.9893,10.8125
1270.9893,0.0
1240.1112,532.56256
1252.2216,388.25006
1252.3666,31.375122
1708.9019,6763.4375
1855.6732,3473.25
1833.2014,7457.625
1856.9572,4418.625
2112.5444,2997.25
2114.9783,3729.125
2118.6362,3511.6875
2152.7046,3313.9062
2156.5872,3160.4688
2208.9548,2814.125
2134.2705,2477.875
1941.4556,2132.25
1949.8196,2869.375
1937.6804,1985.125
1949.2985,1777.0938
1950.6262,1808.9375
1796.4282,1088.9375
1364.2281,227.125
1364.0436,231.3125
1383.6432,525.56256
1325.8522,191.4375
1275.6259,294.875
1275.5099,412.37506
1290.7046,503.25006
1289.5043,1126.75
1277.6292,289.3125
1277.6443,214.5
1276.6964,189.3125
1258.5463,180.25
1256.158,140.4375
