preds,trues
1148.3788,283.75
1172.0757,645.4375
1224.4812,376.75006
1165.8348,378.8125
1229.1263,1130.9375
1302.1597,799.5625
1306.4546,534.0
1296.225,379.50006
1288.7601,592.00006
1317.1888,659.125
1327.2651,142.84375
1511.9003,839.06256
1388.3054,647.875
1561.7723,1789.375
1561.5281,1184.9375
1573.5765,1350.4062
1661.4246,1691.5
1662.211,1707.625
1635.1322,899.5625
1671.8804,1068.6875
1657.1654,977.8125
1651.8284,2125.9688
1652.032,2930.1875
1641.671,2385.625
1638.4779,2436.6875
1630.7297,2013.4375
1633.0585,2151.5
1622.0994,1686.625
1617.3446,1177.75
1606.7727,1502.8125
1190.9152,249.15625
1188.3325,481.5
1310.0834,424.9375
1055.6417,429.62506
1353.0883,1171.4375
1287.7072,489.25006
1353.0883,1577.9688
1104.6924,767.43756
1341.2079,873.6875
1257.0288,616.4375
1137.7958,348.75006
957.79285,284.125
885.3363,297.0
1086.572,272.5625
1120.5042,273.9375
935.9303,359.59375
957.4968,399.0625
1177.119,1173.5625
1163.6481,957.5625
1067.5144,640.9375
1068.5038,472.06256
1065.4208,690.50006
1128.9448,0.6876221
1132.2949,715.00006
1358.3624,1280.5
1134.4205,452.25006
1141.1796,1632.125
1246.0004,1773.3125
1353.0154,1143.5
1434.8645,769.87506
1226.5782,1564.3125
1234.4603,1243.5
1667.4012,807.31256
1134.1475,27.9375
999.01306,137.625
919.6616,179.5625
1159.9185,0.34375
1247.6655,0.0
1240.621,0.0
1174.3958,0.0
1124.5254,0.0
1170.3396,10.8125
1170.3396,0.0
1207.9392,532.56256
1212.0815,388.25006
1230.1534,31.375122
2470.5596,6763.4375
2166.8716,3473.25
2216.5522,7457.625
2418.6875,4418.625
2146.5906,2997.25
2349.8604,3729.125
2137.8667,3511.6875
1914.8923,3313.9062
1825.0321,3160.4688
1625.175,2814.125
1557.6096,2477.875
1554.4631,2132.25
1566.9655,2869.375
1430.9403,1985.125
1400.2761,1777.0938
1331.6093,1808.9375
1304.0422,1088.9375
938.1416,227.125
943.2714,231.3125
1002.8637,525.56256
915.4791,191.4375
905.841,294.875
897.54114,412.37506
855.98535,503.25006
947.1961,1126.75
1014.0445,289.3125
1011.3891,214.5
854.1206,189.3125
796.8983,180.25
912.3813,140.4375
