preds,trues
1192.4976,153.6875
1192.4856,0.0
1193.125,267.68762
1193.125,178.5625
1193.125,71.28125
1193.125,0.0
1193.125,69.12512
1232.1853,507.4375
1198.1692,218.75012
1209.073,240.375
1198.1692,383.6875
1164.8118,95.6875
1203.4395,29.250122
1204.2968,41.875
1202.9105,37.0
1199.5156,93.625
1195.1548,204.0
1195.1548,396.28125
1195.682,302.96875
1194.4968,83.875
1197.4697,285.37512
1192.279,155.125
1192.3624,127.125
1192.9471,236.1875
1219.5338,537.43756
1151.1759,606.6875
1160.224,481.5
1161.2996,308.9375
1151.4081,100.625
1143.5288,160.00012
1199.6882,206.87512
1199.8011,408.1875
1160.7357,299.125
1152.5361,111.8125
1141.8495,48.1875
1159.3125,0.0
1241.1575,4191.8125
1130.2135,50.250122
936.05304,81.0625
958.1478,103.4375
884.894,51.6875
1100.0841,27.1875
1099.2468,68.4375
905.5449,40.500122
884.1973,44.625
1132.8882,1.375
1132.2179,3.437622
918.83044,20.1875
898.0001,0.0
1175.6355,0.0
1175.0461,51.6875
1174.8132,9.6875
915.7068,18.8125
1192.8782,2.40625
1193.1696,39.875
1192.98,83.9375
983.3688,44.625
926.0138,9.75
925.9211,0.0
1192.8962,1.0
1033.217,0.0
940.61743,0.0
940.5672,0.0
1193.9913,0.0
1078.0358,0.0
1078.0358,0.0
961.7617,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,72.31262
1193.125,28.625
1193.125,113.875
1193.125,153.00012
1193.125,90.06262
1193.125,103.375
1193.125,95.6875
1193.125,55.125122
1193.125,0.0
1193.125,0.125
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,7.59375
1193.125,6.9375
1193.125,5.000122
1193.125,5.1875
1193.125,38.718872
1193.125,203.8125
1193.125,69.56262
1193.125,95.50012
1193.125,255.0625
1193.125,267.0
1193.125,71.21875
1193.125,7.625
1193.125,11.125
1193.125,54.4375
1193.125,18.125
1193.125,25.125
1193.125,19.5
1193.125,19.562622
1193.125,18.125
1193.125,45.375122
1193.125,108.25
1193.125,96.4375
1193.125,220.81262
1193.125,212.4375
1193.125,60.75
1193.125,155.8125
1193.125,263.4375
1193.125,396.9375
1193.125,612.25006
1193.125,378.8125
1193.125,287.9375
1193.125,202.00012
1193.125,285.8125
1193.125,189.375
1193.125,95.75
1193.125,74.75
1193.125,0.0
1193.125,0.0
1193.125,317.9375
1193.125,747.125
1141.5127,507.375
1159.2382,778.1875
1247.8433,343.125
1268.3672,268.375
1300.1394,548.625
1404.773,726.90625
1456.138,561.87506
1498.6702,873.0
1501.404,1397.2812
1452.8536,282.34375
1321.3083,318.81262
1100.1063,3.125
1062.5759,0.0
1191.5682,0.0
1177.9939,11.125
1153.2511,89.375
1065.8064,0.0
1181.3156,0.0
1179.8081,0.0
1178.502,0.0
1157.4481,0.0
1183.1075,0.0
1181.8884,0.0
1188.0101,0.0
1191.0759,0.0
1188.4026,0.0
1187.7529,0.0
1187.7598,0.0
1195.2418,0.0
1191.9308,0.0
1192.832,0.0
1195.4369,0.0
1195.5896,0.0
1195.9105,0.18762207
1198.3232,0.0
1195.1636,0.0
1193.4817,0.0
1194.0427,0.0
1195.385,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.625
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0625
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.0
1193.125,0.21875
