preds,trues
1777.4132,789.125
1866.2224,1525.125
1636.2966,1202.1875
1635.3689,1490.875
1952.9108,5102.625
2701.0112,2252.1875
3017.3325,3202.75
3314.683,1256.0625
2562.917,824.0625
2357.0916,1890.6875
2526.125,742.9375
1610.1327,477.625
1457.6893,858.3125
1360.0726,1477.625
1150.4335,2345.0625
1599.3782,1409.875
1959.87,1055.375
1454.8335,443.8125
798.20654,516.5
755.89154,789.81256
802.8692,1032.625
833.3517,1168.0
1086.3367,1672.6875
1337.8567,594.8125
1380.672,903.0625
1152.3225,637.4375
1135.9913,868.09375
1371.6682,1459.125
1033.7589,710.84375
944.209,586.4063
811.38354,503.25006
516.6463,530.84375
465.75494,437.875
537.155,856.9375
541.83325,398.75
505.62524,565.46875
694.40894,1120.375
759.5963,971.5
732.4247,185.125
585.2057,895.25
726.88654,847.84375
545.4129,396.65625
497.28717,1520.2188
849.7013,688.4375
721.3396,1241.75
742.8244,874.40625
822.24414,452.5625
569.51324,278.15637
462.05524,505.6563
572.8567,348.37506
504.82843,781.375
442.48505,407.40625
607.85364,696.8125
524.1807,554.25
577.93,408.12506
650.11975,694.75
700.42096,376.0
690.8384,704.50006
687.49084,1332.25
761.22345,1170.0625
1313.6438,2082.25
1049.3109,360.62506
1146.7687,915.625
1036.1443,981.3125
1204.0322,1295.9375
1036.4741,384.37506
1119.8336,916.3125
1290.6683,1400.0625
1277.6821,2448.2188
1800.2506,3057.0312
1822.7859,3588.9688
2121.9246,5171.875
2808.7275,1558.6875
2518.4717,2433.625
2675.1191,1536.6562
1614.2991,888.3125
1699.3978,1377.0
1661.7343,1490.1875
1237.4169,1174.9375
1401.9683,929.625
1253.2788,942.875
1152.96,1215.75
1306.3279,1313.375
227.45996,408.12506
222.85388,503.18756
403.8416,1169.375
285.41663,947.75
882.2429,794.0
963.3969,945.0
975.3113,1020.4375
1124.697,453.75006
911.91644,1130.1875
923.7949,452.18756
828.49255,784.25
819.8203,840.8125
842.225,1187.5625
909.2289,891.875
1048.9729,1290.3125
1354.4211,1546.125
1361.8441,1077.8125
841.7516,386.50006
1155.0173,1616.0
1321.9751,1300.75
1143.1133,1638.4375
977.8216,1925.6875
1863.5417,1989.3125
383.70172,596.87506
964.6075,1165.125
956.114,1004.40625
888.40515,1091.8125
1039.5728,877.34375
784.7524,533.21875
600.76166,606.2813
653.6862,566.84375
616.7171,96.40625
546.508,17.0625
432.17554,274.96887
460.6162,255.0625
528.0935,849.4375
1278.4226,1531.4375
1437.1975,1323.875
1764.278,1435.0
1645.8472,1490.1875
1570.6843,1141.375
1490.129,1090.375
1425.9125,378.75
907.7062,698.25
738.7048,199.1875
908.41724,1047.7188
835.5631,523.46875
717.7043,219.0625
749.5116,468.96875
