preds,trues
318.35767,153.6875
2121.4504,3538.3125
1865.2992,2256.3125
1907.967,1713.875
2070.4185,4362.4375
2396.1963,2806.4375
2630.4487,4529.5
2846.2505,5487.8125
3183.737,4783.5
3449.7622,3658.5
3268.519,1501.375
2959.974,2961.5625
2488.6287,3603.3125
2630.0947,1897.0
2634.0754,2935.75
2641.4514,3520.75
2653.8042,2642.8125
2792.6475,1378.375
2747.6187,2584.125
2806.8225,2456.9375
2833.9746,2706.5
2755.2163,1121.8125
2601.5288,2373.75
2076.9814,2080.875
1860.23,1795.0
1495.2292,1651.6875
1554.8176,1636.3125
1602.2163,940.125
1372.4088,672.375
1259.9375,892.5625
987.1246,660.5
859.9383,596.87506
840.425,340.375
555.0088,380.875
410.09332,264.875
213.5542,422.8125
429.83984,713.62506
560.20667,1585.9375
1747.4426,1076.375
1425.9463,542.56256
1261.5734,789.81256
1282.3572,814.25006
1269.9069,747.875
989.1251,1260.875
1040.2295,1216.25
994.245,713.62506
1348.1499,1429.375
1297.0671,1261.625
1220.9769,840.12506
1126.5262,885.5625
698.3007,0.0
589.6846,397.0
502.133,1838.3125
442.44916,303.3125
363.794,299.125
579.61017,448.75
718.06256,237.625
531.947,451.5
465.57074,299.8125
566.38153,222.25
569.0029,113.875
321.15833,104.8125
298.2556,205.4375
323.92017,407.50006
361.00146,464.06256
373.9624,150.87512
349.5315,157.87512
389.27777,95.0
263.48242,106.18762
263.4784,277.4375
265.8075,2.0625
275.30505,212.4375
205.82935,113.18762
695.14746,596.9375
627.2814,223.50012
588.8711,204.75012
345.73993,117.375
154.63379,266.96875
157.81323,107.625
133.05225,269.75
134.47852,252.9375
192.59558,330.56256
191.53809,321.50012
170.27942,278.875
173.60876,283.40625
154.021,264.125
154.3899,290.0
162.71606,37.6875
162.91321,137.0
160.05872,130.625
160.84729,133.40637
161.11755,123.6875
160.40723,135.5625
141.85693,124.3125
143.13489,62.125122
145.37012,118.06262
145.40833,454.93756
126.26892,124.3125
125.93762,41.875
126.97278,66.37512
126.81055,99.25012
126.81055,29.312622
125.11133,93.625
117.855225,77.5
117.855225,68.4375
117.855225,20.53125
117.855225,131.25
117.855225,101.31262
117.855225,127.875
117.855225,136.93762
117.855225,44.0
117.855225,32.75
117.855225,32.0625
117.855225,41.125122
117.855225,50.250122
117.855225,39.0625
117.855225,104.40625
117.855225,132.75
117.855225,147.4375
117.855225,130.28125
117.855225,147.40637
117.855225,201.9375
117.855225,120.125
117.855225,51.6875
117.855225,121.5625
117.855225,113.18762
117.855225,61.500122
117.855225,89.4375
117.855225,104.4375
117.855225,163.5
117.855225,185.87512
117.855225,93.625
117.855225,94.31262
117.855225,33.500122
117.855225,155.125
117.855225,69.1875
117.855225,43.9375
117.855225,59.03125
117.855225,26.15625
117.855225,57.65625
117.855225,77.5625
117.855225,85.25012
117.855225,153.00012
117.855225,143.59387
117.855225,235.15637
117.855225,196.4375
117.855225,135.25012
117.855225,52.3125
117.855225,44.625
117.855225,51.656372
117.855225,74.75
117.855225,58.0
117.855225,62.1875
117.855225,81.0
117.855225,76.8125
117.855225,130.6875
117.855225,25.437622
117.855225,190.0625
117.855225,153.6875
117.855225,39.0625
117.855225,100.625
117.855225,219.4375
117.855225,122.93762
117.855225,192.625
117.855225,90.75
117.855225,353.62506
117.855225,173.25
117.855225,118.06262
117.855225,34.1875
117.855225,55.843872
117.855225,129.25
117.855225,204.75012
117.855225,123.0625
117.855225,109.6875
117.855225,113.18762
117.855225,143.5625
117.855225,81.0
117.855225,81.8125
117.855225,90.8125
117.855225,27.9375
117.855225,35.625
