preds,trues
439.38556,283.75
727.4731,645.4375
429.00024,376.75006
409.38123,378.8125
684.794,1130.9375
759.1518,799.5625
477.6958,534.0
465.34753,379.50006
624.97437,592.00006
758.92114,659.125
698.0464,142.84375
1372.7456,839.06256
618.86884,647.875
1658.1882,1789.375
1181.6232,1184.9375
1326.1527,1350.4062
1422.6755,1691.5
1458.6859,1707.625
1186.1538,899.5625
940.4463,1068.6875
1005.3622,977.8125
1253.1682,2125.9688
2571.3555,2930.1875
2325.8296,2385.625
2137.8616,2436.6875
2416.5303,2013.4375
2338.3325,2151.5
1145.9653,1686.625
1549.0176,1177.75
1131.5591,1502.8125
408.88837,249.15625
464.20074,481.5
710.1099,424.9375
545.92816,429.62506
1318.3395,1171.4375
551.8909,489.25006
1395.938,1577.9688
1248.6394,767.43756
722.0717,873.6875
768.46014,616.4375
462.34436,348.75006
353.0182,284.125
365.18854,297.0
259.18628,272.5625
348.51007,273.9375
369.73737,359.59375
435.84766,399.0625
607.09045,1173.5625
1012.6173,957.5625
496.7633,640.9375
413.7099,472.06256
809.3154,690.50006
449.57446,0.6876221
821.14075,715.00006
1086.3673,1280.5
916.4509,452.25006
785.0913,1632.125
2022.1335,1773.3125
664.7074,1143.5
1443.6881,769.87506
1182.0498,1564.3125
986.5919,1243.5
1125.8287,807.31256
177.89197,27.9375
171.14697,137.625
158.08704,179.5625
100.073975,0.34375
63.29016,0.0
94.90613,0.0
91.093994,0.0
72.233154,0.0
51.159424,10.8125
55.07361,0.0
232.93396,532.56256
466.41125,388.25006
218.40881,31.375122
6475.6577,6763.4375
4476.073,3473.25
5117.713,7457.625
5056.709,4418.625
4107.868,2997.25
5188.8286,3729.125
3873.0024,3511.6875
2924.2231,3313.9062
3052.3052,3160.4688
3234.4912,2814.125
2300.5613,2477.875
1786.4602,2132.25
2955.638,2869.375
2620.771,1985.125
978.41077,1777.0938
1099.0596,1808.9375
1032.4685,1088.9375
564.4671,227.125
287.13477,231.3125
634.0252,525.56256
331.68195,191.4375
430.2531,294.875
299.23816,412.37506
946.8683,503.25006
821.4148,1126.75
316.15405,289.3125
299.95508,214.5
191.6477,189.3125
254.33301,180.25
233.81995,140.4375
