preds,trues
1212.3318,789.125
2551.558,1525.125
1986.4392,1202.1875
964.0983,1490.875
4254.7524,5102.625
2304.2468,2252.1875
2689.6548,3202.75
2077.502,1256.0625
1082.8864,824.0625
1606.5651,1890.6875
691.76385,742.9375
927.6555,477.625
769.3801,858.3125
1108.0698,1477.625
1593.4309,2345.0625
1563.9966,1409.875
1516.0559,1055.375
836.0181,443.8125
569.16016,516.5
610.80225,789.81256
1241.6189,1032.625
1075.382,1168.0
1361.7513,1672.6875
840.4754,594.8125
869.1275,903.0625
535.0146,637.4375
880.4625,868.09375
1668.0789,1459.125
717.8031,710.84375
702.18805,586.4063
516.8048,503.25006
518.9266,530.84375
582.79315,437.875
645.7602,856.9375
506.72443,398.75
606.3464,565.46875
904.28174,1120.375
1090.8285,971.5
208.43457,185.125
232.04187,895.25
838.54803,847.84375
577.9736,396.65625
714.3919,1520.2188
746.9816,688.4375
957.3224,1241.75
1079.7753,874.40625
597.8784,452.5625
474.3083,278.15637
564.66516,505.6563
495.70642,348.37506
976.90686,781.375
354.92047,407.40625
716.16144,696.8125
536.3694,554.25
383.4654,408.12506
714.3056,694.75
510.00952,376.0
538.9931,704.50006
941.91614,1332.25
1144.2466,1170.0625
1550.5718,2082.25
610.9384,360.62506
719.09155,915.625
727.6821,981.3125
1276.4885,1295.9375
523.9537,384.37506
1030.2402,916.3125
1295.7859,1400.0625
3065.126,2448.2188
3225.083,3057.0312
3495.143,3588.9688
3264.3984,5171.875
1823.1425,1558.6875
2043.0656,2433.625
2085.776,1536.6562
1077.7856,888.3125
1293.3364,1377.0
1400.9369,1490.1875
1158.1855,1174.9375
1224.654,929.625
864.4302,942.875
1269.41,1215.75
977.467,1313.375
475.13184,408.12506
550.55225,503.18756
882.9365,1169.375
1084.1113,947.75
682.1629,794.0
927.87524,945.0
1016.57654,1020.4375
938.5271,453.75006
675.9124,1130.1875
736.70703,452.18756
692.4,784.25
677.1606,840.8125
1164.5306,1187.5625
883.4303,891.875
1087.0107,1290.3125
1497.0144,1546.125
950.9984,1077.8125
371.85266,386.50006
1442.7456,1616.0
1279.6772,1300.75
1734.6677,1638.4375
1587.1104,1925.6875
2047.858,1989.3125
771.8263,596.87506
1422.1113,1165.125
1136.5115,1004.40625
1078.8961,1091.8125
1164.2856,877.34375
463.1339,533.21875
628.7676,606.2813
606.8233,566.84375
441.73694,96.40625
150.62842,17.0625
425.70227,274.96887
704.649,255.0625
810.1215,849.4375
1276.5077,1531.4375
1309.0021,1323.875
1246.0247,1435.0
1202.0267,1490.1875
1144.9185,1141.375
870.27686,1090.375
484.60144,378.75
639.52783,698.25
297.32263,199.1875
1046.0477,1047.7188
415.6764,523.46875
268.98816,219.0625
796.89746,468.96875
636.915,840.8125
406.6557,348.0
396.18536,455.6875
561.3301,578.00006
210.18494,239.0
206.85815,309.0
225.55908,156.5
235.19202,133.4375
383.1778,441.0
344.51135,308.9375
197.73657,46.03125
125.282715,12.562622
435.45612,256.8125
358.6944,326.375
185.17712,149.5625
444.6231,409.56256
432.747,413.7813
275.9065,169.40637
157.31848,91.18762
237.49756,427.75
150.84595,144.75
122.700806,110.375
85.75122,81.6875
146.40771,238.3125
162.78369,142.875
105.06311,78.875
166.48987,91.5
241.70215,190.0625
139.37708,75.4375
166.00952,133.4375
88.45679,25.0625
88.38818,63.5625
96.16406,55.125122
62.499756,35.5625
115.83032,58.625
215.15881,37.6875
210.24426,60.000122
269.844,195.00012
228.22864,121.0625
329.44794,452.18756
594.7843,706.62506
619.1176,327.0625
1524.4956,1207.125
1445.002,1237.1875
938.39197,830.3125
970.52405,791.1875
588.7684,476.625
397.6803,224.28125
361.5755,348.6875
367.54254,269.75
377.13892,255.81262
440.74353,208.1875
202.06665,116.0
368.66595,236.1875
183.05054,108.25
188.07544,183.4375
429.84277,102.0
195.69128,273.25
640.8257,459.18756
318.79382,498.43756
83.704956,260.0
284.20703,269.75
696.2877,290.75
417.7251,283.75
342.0374,421.43756
375.34167,436.8125
266.86792,206.1875
302.16467,276.0625
