preds,trues
443.2453,283.75
717.4519,645.4375
430.94385,376.75006
389.92743,378.8125
674.9218,1130.9375
763.007,799.5625
476.5683,534.0
460.36554,379.50006
622.71625,592.00006
746.3433,659.125
708.4057,142.84375
1329.5052,839.06256
633.68756,647.875
1589.238,1789.375
1153.1803,1184.9375
1288.0664,1350.4062
1408.5681,1691.5
1406.4117,1707.625
1158.0784,899.5625
943.3727,1068.6875
989.61304,977.8125
1246.8586,2125.9688
2520.2854,2930.1875
2300.5984,2385.625
2132.8945,2436.6875
2411.3086,2013.4375
2307.7793,2151.5
1089.7119,1686.625
1484.5468,1177.75
1118.3577,1502.8125
392.98297,249.15625
416.11792,481.5
641.87115,424.9375
541.75,429.62506
1252.6664,1171.4375
583.7957,489.25006
1276.8892,1577.9688
1234.4069,767.43756
732.0267,873.6875
784.80334,616.4375
470.25372,348.75006
321.05872,284.125
334.90936,297.0
210.03748,272.5625
304.31958,273.9375
338.00867,359.59375
397.7002,399.0625
589.6989,1173.5625
1010.80084,957.5625
518.603,640.9375
421.49915,472.06256
812.30286,690.50006
450.9087,0.6876221
815.9408,715.00006
1091.2584,1280.5
893.5133,452.25006
781.8268,1632.125
1948.9058,1773.3125
679.8856,1143.5
1332.5781,769.87506
1193.3607,1564.3125
963.1126,1243.5
1140.6882,807.31256
195.34619,27.9375
137.7356,137.625
102.295654,179.5625
42.67383,0.34375
6.2783203,0.0
23.824097,0.0
24.798218,0.0
23.593018,0.0
15.093872,10.8125
19.84021,0.0
197.49512,532.56256
460.9973,388.25006
209.59778,31.375122
6411.8833,6763.4375
4511.101,3473.25
5049.788,7457.625
5097.9863,4418.625
4137.29,2997.25
5087.4233,3729.125
3882.4585,3511.6875
2875.5554,3313.9062
3107.357,3160.4688
3124.692,2814.125
2336.084,2477.875
1947.6453,2132.25
2883.8755,2869.375
2577.0737,1985.125
924.2716,1777.0938
1097.8102,1808.9375
1086.8324,1088.9375
568.7683,227.125
263.90857,231.3125
569.2074,525.56256
298.08154,191.4375
367.6255,294.875
246.229,412.37506
921.33057,503.25006
823.18555,1126.75
332.38464,289.3125
293.90344,214.5
180.72742,189.3125
242.27942,180.25
208.84924,140.4375
