preds,trues
996.5378,789.125
2478.149,1525.125
1813.7689,1202.1875
927.42957,1490.875
4185.467,5102.625
2288.6313,2252.1875
2638.7485,3202.75
2222.2666,1256.0625
1060.4808,824.0625
1597.9376,1890.6875
600.791,742.9375
864.3677,477.625
725.6727,858.3125
1060.3235,1477.625
1596.4937,2345.0625
1526.3896,1409.875
1488.3369,1055.375
818.7233,443.8125
562.08813,516.5
623.2904,789.81256
1234.4088,1032.625
1012.42175,1168.0
1343.6608,1672.6875
837.4315,594.8125
869.74316,903.0625
558.5972,637.4375
872.5387,868.09375
1625.3969,1459.125
736.59607,710.84375
702.8128,586.4063
500.5608,503.25006
510.2392,530.84375
560.84357,437.875
639.70325,856.9375
501.87335,398.75
587.3867,565.46875
897.2927,1120.375
1087.9812,971.5
221.9226,185.125
220.63525,895.25
833.02295,847.84375
557.2406,396.65625
713.5977,1520.2188
784.6562,688.4375
897.8008,1241.75
1084.3727,874.40625
639.50793,452.5625
445.54614,278.15637
545.8761,505.6563
492.7776,348.37506
926.979,781.375
398.84558,407.40625
693.6674,696.8125
534.4032,554.25
387.36328,408.12506
713.51843,694.75
516.44995,376.0
523.04034,704.50006
931.99646,1332.25
1132.8412,1170.0625
1520.2045,2082.25
647.1225,360.62506
719.86255,915.625
730.14124,981.3125
1247.9021,1295.9375
542.7326,384.37506
1020.7882,916.3125
1288.5468,1400.0625
2884.3735,2448.2188
3121.4492,3057.0312
3387.2478,3588.9688
3195.123,5171.875
1821.1824,1558.6875
2013.0408,2433.625
1976.1768,1536.6562
1163.7786,888.3125
1266.7987,1377.0
1426.1233,1490.1875
1121.0844,1174.9375
1194.5032,929.625
803.65826,942.875
1210.0757,1215.75
951.6773,1313.375
488.96545,408.12506
542.2213,503.18756
866.1334,1169.375
1012.9247,947.75
709.4444,794.0
925.6614,945.0
1004.9066,1020.4375
931.11536,453.75006
680.4742,1130.1875
740.5228,452.18756
673.9499,784.25
674.5514,840.8125
1154.2633,1187.5625
889.223,891.875
1071.0515,1290.3125
1454.1196,1546.125
936.7821,1077.8125
415.98096,386.50006
1419.2316,1616.0
1256.8718,1300.75
1693.796,1638.4375
1542.7512,1925.6875
2060.312,1989.3125
739.5157,596.87506
1416.09,1165.125
1085.054,1004.40625
1051.9801,1091.8125
1142.9797,877.34375
477.46472,533.21875
571.17523,606.2813
539.69135,566.84375
433.0901,96.40625
82.51538,17.0625
383.85565,274.96887
656.48096,255.0625
762.8721,849.4375
1262.1995,1531.4375
1277.1681,1323.875
1250.0704,1435.0
1182.8237,1490.1875
1125.964,1141.375
861.8141,1090.375
495.38275,378.75
625.91833,698.25
285.48474,199.1875
1023.12036,1047.7188
410.7196,523.46875
254.21448,219.0625
783.0024,468.96875
628.48627,840.8125
418.12946,348.0
389.39417,455.6875
552.1817,578.00006
199.48047,239.0
172.03381,309.0
190.9187,156.5
196.20874,133.4375
332.3208,441.0
319.30457,308.9375
164.68811,46.03125
91.36719,12.562622
405.98383,256.8125
324.57764,326.375
163.04102,149.5625
429.70715,409.56256
434.52496,413.7813
260.6952,169.40637
143.99646,91.18762
209.32263,427.75
118.975464,144.75
95.46814,110.375
52.200684,81.6875
101.8551,238.3125
124.960815,142.875
73.565674,78.875
136.15674,91.5
210.39404,190.0625
106.41101,75.4375
133.89917,133.4375
55.97107,25.0625
52.87451,63.5625
61.709106,55.125122
26.154663,35.5625
78.30957,58.625
178.97095,37.6875
174.56116,60.000122
237.97437,195.00012
205.58252,121.0625
307.06384,452.18756
586.1337,706.62506
612.9283,327.0625
1495.9001,1207.125
1489.8109,1237.1875
936.7284,830.3125
999.21716,791.1875
603.07556,476.625
394.8216,224.28125
336.4986,348.6875
338.12982,269.75
324.38342,255.81262
403.34192,208.1875
140.48547,116.0
335.67676,236.1875
140.31274,108.25
157.31152,183.4375
398.99512,102.0
167.92004,273.25
610.5316,459.18756
304.859,498.43756
68.572876,260.0
269.40186,269.75
678.2523,290.75
403.15118,283.75
330.4483,421.43756
352.82544,436.8125
254.85535,206.1875
283.20374,276.0625
141.30579,475.25006
105.55322,929.5625
168.14648,90.06262
408.11737,218.375
204.18518,22.34375
124.338745,85.25012
354.5006,568.9375
458.66125,1080.625
1089.1702,1762.8125
2438.3801,2719.75
2036.6857,1762.8125
1982.2512,1732.75
1997.7886,2018.625
2750.4905,2997.9375
2697.781,3092.2812
2161.225,2353.9688
1638.5303,939.375
496.8413,865.28125
526.05756,457.8125
449.1051,518.625
431.1718,316.5625
281.32178,220.81262
307.07568,187.3125
255.34155,299.8125
346.71594,340.375
236.49329,464.06256
373.26483,311.6875
653.5775,696.875
575.38934,437.5
711.93915,575.87506
638.03937,675.0
569.48755,743.00006
805.80347,501.8125
263.74573,139.75
650.73627,1760.75
1722.0597,1451.0625
897.64886,988.3125
914.08386,168.09375
351.4131,0.34375
278.8275,292.875
219.8313,292.8125
315.81677,210.3125
243.79028,308.1875
515.6083,1010.0
714.24506,420.75
356.84302,496.25006
546.4797,566.125
735.1558,652.06256
721.03217,594.75006
682.36523,629.75
789.28107,730.375
563.11316,682.93756
1102.805,1248.375
1206.3263,1311.9375
831.3219,534.68756
345.0838,180.9375
265.20605,223.625
389.89746,202.00012
40.46118,0.0
19.597778,0.0
25.925537,0.0
33.11609,0.0
19.981445,4.125
25.211426,1.71875
603.1723,591.65625
720.9479,763.93756
961.31244,3516.625
1757.5654,2203.1875
1219.4856,1036.5625
1616.8655,1873.25
1679.3662,1952.25
1874.8538,1953.6875
1753.6224,1877.4375
1998.59,1906.0625
1652.0283,2093.4375
2147.3071,2007.5
1517.2571,1469.25
1708.2513,1760.0625
2489.3662,1130.25
1073.332,1123.9375
1706.7413,1769.125
1782.233,1705.5
1832.5192,2091.3125
1531.538,1439.1875
1252.1726,1585.9375
1729.442,1402.8125
1321.7402,1510.8438
1190.6389,1062.4688
1900.7869,2457.625
2250.814,2247.9375
1926.5681,1734.6875
1701.9287,1213.4375
1456.7859,1292.75
1660.3457,2220.2812
2197.8108,2329.3125
1717.2235,1950.1562
1857.1613,1686.9688
4897.7812,4630.8125
1249.5193,988.3125
2501.9253,1919.375
885.69556,339.0
438.30347,264.8125
482.54547,497.9375
537.2088,473.12506
609.0299,423.9063
375.4546,497.62506
1441.6624,2786.1875
1122.7264,1503.5
2013.1729,1579.0
1668.6671,1013.5
1089.8811,979.9375
1209.9138,638.25
1241.4935,1222.5
810.59204,759.75
1776.0985,2548.875
826.07355,320.40625
660.78015,760.40625
840.9803,1592.25
3609.3364,2533.8125
2676.2937,3585.75
3221.7246,4727.25
1600.9757,1393.0625
1746.5171,2770.8125
2745.1655,2487.0
2578.1658,4011.5
4993.347,2434.125
5352.345,4851.6875
6085.9287,6222.4375
4174.6187,4938.375
4191.2344,3630.5625
2586.6714,2705.0625
1461.1848,2618.4375
4548.6216,3454.375
5171.732,6249.6875
5413.0283,5030.0
1771.1686,3026.625
7743.7886,7161.1875
6263.0425,4418.3438
735.2572,460.21875
469.52747,257.875
777.2655,610.87506
823.4549,551.43756
465.37946,627.25006
673.2767,350.8125
2077.894,1077.8125
1639.7866,2367.7812
4903.341,5435.6875
2932.68,1820.125
7194.6167,9130.3125
6060.74,7778.4375
5830.9893,6945.1875
4647.62,4741.9375
4031.0327,6599.8438
5049.7666,6216.875
3745.8574,6218.8125
5305.7017,4470.0625
2312.0144,1758.625
2686.6316,1725.0625
3716.6328,3371.875
3884.1401,2156.375
3365.8452,4177.875
1539.5571,1372.8125
2080.7163,2008.8125
1602.3937,2550.9062
1257.8402,1176.375
1148.0739,754.125
1127.8777,1118.3125
250.0957,414.62506
1873.6765,2062.0
1400.3322,1390.25
2731.7705,1859.9375
1535.081,2225.9375
3518.6182,3172.375
5270.153,6582.7188
6391.48,7199.625
1897.5546,3346.0625
3882.9023,2695.9375
4899.879,7569.375
5986.3667,4035.5
4369.268,5033.4062
3961.0781,2034.3438
1964.7585,2182.875
4341.8706,3731.9375
3616.475,3664.125
2613.6067,3722.8125
1960.8784,1195.1875
768.79254,590.5625
239.54504,499.0625
239.82837,382.9375
1304.5125,849.25
2794.6348,1151.875
4166.389,3439.6875
1820.8733,1976.6875
2591.7256,2358.375
4215.8193,4009.4375
4318.645,1901.875
5249.5645,5523.4375
3746.5776,2968.5625
1480.3657,1399.3125
458.898,381.62506
0.0,95.6875
405.37122,99.9375
252.11816,298.25
484.5473,456.37506
783.79285,967.3125
1220.6511,1300.0625
1256.7594,1028.875
1248.147,2361.1875
1546.9841,2085.0625
2522.033,2215.0625
2309.5938,2458.375
3165.9805,3007.75
2556.6846,2886.8125
2379.23,2631.6875
1504.3654,980.625
944.005,895.375
777.18506,324.25
1028.3318,1260.9375
960.20105,1063.8125
1911.4336,1197.3125
1557.5779,1873.25
1904.8213,1685.875
1132.7203,1309.875
779.79,606.00006
888.5471,831.0625
180.39893,0.0
376.50464,464.8125
439.0304,405.37506
323.00098,340.375
246.9159,220.125
267.1648,269.0625
319.24866,330.3125
328.82275,285.125
269.48694,232.68762
122.775024,155.78125
59.871826,0.0
161.0647,139.00012
74.59985,130.625
179.72803,286.50012
150.50574,156.5
280.38037,295.62512
255.98584,200.15637
51.96765,5.5
20.409302,0.0
33.868286,0.0
19.926147,0.0
11.279541,0.5
262.8888,4010.125
7676.5156,8366.25
10637.038,10621.249
9549.938,10177.374
11766.303,11843.125
9413.029,11678.124
9147.973,8013.25
5917.8027,6237.625
9760.79,11541.125
10387.008,11991.937
9581.821,10481.4375
6501.93,5590.5
3653.999,4071.625
3329.6978,3231.75
6583.3506,9172.187
2444.7415,4912.5
3661.9136,3861.9375
5714.7134,5084.5
3489.537,3882.875
2968.212,3562.0625
6476.5117,8088.7812
1906.8704,2898.0
1635.6678,1541.9375
3563.522,4075.0625
2378.365,3417.3125
3458.397,3765.5
3890.3257,4510.5625
9322.902,9620.999
5197.819,3418.75
8084.4688,8098.5625
