preds,trues
219.16077,153.6875
3759.0112,3538.3125
2726.3892,2256.3125
2006.3911,1713.875
3861.46,4362.4375
2415.727,2806.4375
3842.296,4529.5
3393.2397,5487.8125
3620.3213,4783.5
4096.6885,3658.5
1807.1772,1501.375
2583.8354,2961.5625
2128.749,3603.3125
2594.5432,1897.0
3383.9248,2935.75
4041.0376,3520.75
2729.3188,2642.8125
2414.1528,1378.375
2827.758,2584.125
2557.9966,2456.9375
2433.286,2706.5
2084.5132,1121.8125
1824.6436,2373.75
2150.1116,2080.875
1591.3721,1795.0
1545.955,1651.6875
1572.8121,1636.3125
1399.866,940.125
761.36664,672.375
1351.8323,892.5625
824.1704,660.5
497.04163,596.87506
603.3681,340.375
398.43787,380.875
279.40198,264.875
406.55884,422.8125
962.2802,713.62506
1158.8423,1585.9375
1259.0476,1076.375
742.91766,542.56256
973.50055,789.81256
799.72327,814.25006
777.1891,747.875
1007.5896,1260.875
1105.7352,1216.25
953.35736,713.62506
1235.7772,1429.375
1244.2894,1261.625
1079.0934,840.12506
430.28235,885.5625
155.6543,0.0
588.0791,397.0
151.93652,1838.3125
184.54541,303.3125
350.04535,299.125
389.53845,448.75
655.3444,237.625
726.06305,451.5
287.1466,299.8125
254.9043,222.25
190.40784,113.875
117.45288,104.8125
155.82837,205.4375
137.15234,407.50006
345.97937,464.06256
195.60156,150.87512
195.41858,157.87512
135.41895,95.0
198.03284,106.18762
405.57867,277.4375
146.52771,2.0625
164.1283,212.4375
253.93213,113.18762
430.10663,596.9375
188.8274,223.50012
178.10632,204.75012
314.20203,117.375
293.23242,266.96875
361.63947,107.625
425.44092,269.75
194.47607,252.9375
358.58923,330.56256
380.48273,321.50012
314.9696,278.875
323.61108,283.40625
324.06824,264.125
222.19153,290.0
151.67908,37.6875
75.894775,137.0
131.67078,130.625
91.62305,133.40637
99.85925,123.6875
90.02893,135.5625
120.15088,124.3125
172.52002,62.125122
192.53589,118.06262
281.42334,454.93756
213.1659,124.3125
85.97107,41.875
75.16638,66.37512
95.57654,99.25012
90.47449,29.312622
103.10571,93.625
70.40759,77.5
98.91882,68.4375
68.24231,20.53125
157.47778,131.25
79.33679,101.31262
79.10657,127.875
102.077515,136.93762
88.028076,44.0
56.82019,32.75
28.896606,32.0625
41.136353,41.125122
60.178223,50.250122
58.327637,39.0625
125.47107,104.40625
123.062744,132.75
144.00183,147.4375
146.37244,130.28125
153.74231,147.40637
168.5409,201.9375
131.88196,120.125
73.302124,51.6875
164.849,121.5625
