preds,trues
165.00928,167.00012
138.27295,170.5
208.9685,202.625
41.64038,223.625
236.78406,138.3125
154.28674,215.875
129.53406,83.12512
161.9873,164.87512
158.95068,106.18762
795.03424,685.3125
760.8717,437.15625
644.6751,473.15625
447.75958,357.0938
740.18475,1154.375
629.48804,962.78125
1229.41,1802.3125
545.3652,622.75
616.22754,455.6875
384.12976,363.43756
378.12958,293.50012
645.03723,1033.75
354.19348,383.0
334.0594,271.1875
356.77118,401.1875
442.2077,368.31256
378.56836,380.1875
1094.904,1211.25
560.57947,1005.75
685.11127,1065.875
417.62677,388.56256
302.27844,192.125
315.43127,239.75
460.59235,438.9375
430.33936,321.50012
341.93384,359.25
512.68915,683.5625
734.42206,475.93756
420.602,378.8125
317.31628,170.5
271.74268,269.75
347.12762,364.125
314.44238,391.37506
587.0503,443.06256
305.20813,243.93762
350.8871,290.75
462.25067,588.50006
692.1495,963.125
491.45557,863.875
604.0556,379.46875
569.0056,489.96875
583.30414,370.75
552.5281,964.1875
653.896,378.50006
417.24103,437.875
445.99554,300.125
370.56714,455.31256
365.35242,608.8125
530.1929,443.06256
522.111,571.87506
394.11304,329.875
420.12903,327.0625
243.63391,357.8125
417.48126,448.0
572.1724,1276.3125
531.8341,694.125
464.46387,473.875
504.1231,495.5
501.1319,1188.25
1143.8638,1092.5
1486.3593,1952.25
1287.927,2113.6875
830.9256,985.5
2156.5867,1959.9375
829.68286,727.5625
1132.4723,1960.625
424.50885,513.03125
472.86212,508.78125
537.79724,1031.0
437.0755,460.21875
587.123,1134.4062
343.49518,464.43756
600.05145,359.62506
498.04315,467.5625
441.224,292.59375
462.28094,535.0313
394.7386,144.625
189.09119,184.4375
262.53198,808.6875
267.70557,406.75
535.7322,351.56256
484.88293,297.75012
538.29224,370.37506
255.23364,365.56256
392.86957,471.06256
818.5441,677.9375
408.03583,480.25006
447.28156,413.0625
320.10693,348.0625
419.63702,550.75
755.0198,559.875
313.96313,332.0
425.56134,446.625
508.93365,470.37506
360.45868,304.75012
390.6811,498.3125
354.12256,435.43756
326.39648,341.75006
219.39856,271.1875
394.53345,246.34375
296.3988,166.59375
153.87622,125.03125
184.22766,187.59375
453.80365,408.12506
545.0261,583.25
248.00183,473.875
758.5049,668.125
502.755,606.6875
818.78687,1243.125
409.30554,443.8125
276.51782,283.75
384.46753,277.09387
350.41486,467.87506
307.50146,289.68762
325.4016,391.37506
314.83386,330.56256
665.5809,290.0625
296.4016,333.375
281.7489,203.375
233.29504,284.4375
409.77747,234.125
449.1148,218.0625
336.89514,137.625
255.8247,270.4375
377.33173,327.8125
180.50977,303.625
265.20605,241.78125
380.85046,416.15625
531.5255,555.625
429.34473,455.6875
307.9519,243.1875
256.87207,136.93762
261.7611,162.0625
292.8971,320.0625
178.99109,195.00012
220.9049,274.62512
359.3202,311.6875
106.20386,79.625
196.70691,590.5625
769.8105,705.9375
761.8218,700.3125
492.75635,433.31256
398.9687,388.56256
339.17395,320.75
577.54865,675.18756
651.7125,485.68756
635.5792,770.93756
406.65765,383.6875
342.38666,557.75
621.10785,606.625
633.73193,671.0
460.80396,614.37506
739.86456,734.5625
501.43396,583.625
739.1408,720.5625
1089.5217,993.9375
378.8877,251.21887
502.39618,695.8125
291.13098,259.25
328.1349,406.75
330.72742,384.37506
313.93738,350.87506
517.00806,410.375
446.32678,416.9063
425.92133,334.75006
419.01532,471.75
573.6707,399.8125
475.3283,775.875
541.3146,536.37506
492.16388,437.5
819.51855,593.37506
517.23773,450.375
504.96246,380.25
640.3695,566.8125
965.00793,1231.5625
713.55115,753.84375
530.1009,627.625
671.4499,732.50006
