preds,trues
196.66895,153.6875
92.19446,0.0
295.86914,267.68762
324.46936,178.5625
117.13025,71.28125
74.40808,0.0
105.466064,69.12512
713.79956,507.4375
323.61975,218.75012
151.47961,240.375
182.98486,383.6875
179.45105,95.6875
60.539062,29.250122
50.039185,41.875
66.242065,37.0
73.669556,93.625
159.34155,204.0
425.22498,396.28125
321.21826,302.96875
229.76672,83.875
226.18689,285.37512
204.08801,155.125
145.33496,127.125
328.70325,236.1875
601.3164,537.43756
405.2215,606.6875
388.76544,481.5
410.13013,308.9375
135.26831,100.625
214.72473,160.00012
334.30603,206.87512
475.09827,408.1875
300.03796,299.125
105.15332,111.8125
149.83374,48.1875
32.018677,0.0
1661.4915,4191.8125
1769.8889,50.250122
239.90845,81.0625
105.38672,103.4375
118.88098,51.6875
59.41272,27.1875
105.87268,68.4375
106.56482,40.500122
67.913086,44.625
41.22339,1.375
53.740112,3.437622
53.051758,20.1875
23.011597,0.0
19.793945,0.0
76.82532,51.6875
95.77527,9.6875
76.775024,18.8125
25.090942,2.40625
96.64148,39.875
87.42761,83.9375
75.02661,44.625
52.817993,9.75
22.780396,0.0
21.745361,1.0
19.286865,0.0
17.818604,0.0
16.321167,0.0
17.641235,0.0
15.785889,0.0
16.32373,0.0
16.589722,0.0
16.759277,0.0
16.60083,0.0
15.768066,0.0
22.568604,0.0
17.916504,0.0
18.184204,0.0
18.508667,0.0
18.102783,0.0
17.903198,0.0
15.357056,0.0
58.539673,72.31262
34.715942,28.625
84.02466,113.875
157.90942,153.00012
204.60144,90.06262
109.10449,103.375
111.9187,95.6875
141.20044,55.125122
52.839966,0.0
19.779663,0.125
21.1792,0.0
20.46228,0.0
17.503662,0.0
15.696655,0.0
19.366821,0.0
22.902222,7.59375
22.31128,6.9375
26.627197,5.000122
27.829468,5.1875
31.104858,38.718872
127.20593,203.8125
95.10364,69.56262
43.650146,95.50012
185.07397,255.0625
216.06226,267.0
123.68591,71.21875
37.14392,7.625
32.28357,11.125
57.905273,54.4375
44.243896,18.125
69.594604,25.125
41.968384,19.5
35.073853,19.562622
41.121704,18.125
63.063477,45.375122
111.41943,108.25
111.71655,96.4375
280.09924,220.81262
314.75378,212.4375
147.32117,60.75
174.20984,155.8125
339.93292,263.4375
287.79456,396.9375
508.34753,612.25006
495.19763,378.8125
434.99097,287.9375
252.04602,202.00012
238.7627,285.8125
226.79407,189.375
173.34607,95.75
62.131104,74.75
32.973267,0.0
21.959595,0.0
408.01892,317.9375
490.31775,747.125
431.00372,507.375
552.9186,778.1875
878.1244,343.125
652.36395,268.375
617.7023,548.625
629.1362,726.90625
657.39465,561.87506
655.67523,873.0
1170.3615,1397.2812
608.05035,282.34375
212.64062,318.81262
236.47205,3.125
73.190186,0.0
31.09143,0.0
43.391968,11.125
67.19629,89.375
43.250122,0.0
22.197998,0.0
21.416016,0.0
18.496094,0.0
18.610107,0.0
19.45874,0.0
19.10669,0.0
19.773193,0.0
21.121338,0.0
18.901245,0.0
18.98584,0.0
18.890991,0.0
18.661499,0.0
18.939087,0.0
17.752563,0.0
19.036499,0.0
18.958374,0.0
18.833618,0.18762207
19.032593,0.0
21.3042,0.0
22.434448,0.0
23.332031,0.0
19.244263,0.0
17.33789,0.0
14.520996,0.0
12.640381,0.0
17.135254,0.0
18.019531,0.0
17.505371,0.0
17.145386,0.0
15.674683,0.0
14.202637,0.0
14.671143,0.0
14.30542,0.0
14.939819,0.0
15.257568,0.0
14.863403,0.625
17.588013,0.0
18.26538,0.0
17.542725,0.0
16.872559,0.0
15.353882,0.0
14.60083,0.0
13.795898,0.0
14.197632,0.0
14.831665,0.0
17.787476,0.0
20.379272,0.0
19.471802,0.0
17.969238,0.0
15.390991,0.0
14.017334,0.0
11.109619,0.0
9.256592,0.0
10.864746,0.0
10.601685,0.0
12.31189,0.0
11.9696045,0.0
8.463257,0.0
14.814087,0.0
15.140259,0.0
15.285034,0.0
15.987183,0.0
15.138062,0.0
15.615723,0.0
19.71997,0.0
19.206177,0.0
18.62146,0.0
19.073975,0.0
15.790894,0.0
18.343872,0.0
17.836304,0.0
17.829712,0.0
18.56958,0.0
17.929077,0.0
18.478882,0.0
17.912964,0.0
18.161865,0.0
13.519287,0.0
13.959961,0.0
15.711548,0.0
19.787476,0.0
19.54126,0.0
17.445923,0.0
14.4053955,0.0
11.860474,0.0
7.920044,0.0
8.201538,0.0
9.667603,0.0
13.647095,0.0
12.948853,0.0
12.857056,0.0
13.585083,0.0
18.413208,0.0
16.888916,0.0
17.289917,0.0
17.65918,0.0
17.846436,0.0
17.987183,0.0
17.814209,0.0
18.324707,0.0
15.702637,0.0
13.333618,0.0
17.921143,0.0
16.815308,0.0
15.595825,0.0
16.494385,0.0
18.218262,0.0
18.755005,0.0625
19.058472,0.0
17.898438,0.0
18.982544,0.0
14.657715,0.0
15.657593,0.0
14.802002,0.0
15.163452,0.0
19.47168,0.0
18.681763,0.0
17.590576,0.0
19.045776,0.0
18.301147,0.0
18.357056,0.0
18.647827,0.0
18.125122,0.0
18.564209,0.0
18.735474,0.0
18.72998,0.0
18.80066,0.0
17.325195,0.0
16.979736,0.0
16.749268,0.0
19.489746,0.0
17.152954,0.0
18.219604,0.0
18.940796,0.0
18.933472,0.21875
22.652466,0.0
20.860352,0.0
18.5979,0.0
15.634155,0.0
14.281128,0.0
19.806519,0.0
19.165283,0.0
18.641602,0.0
20.356201,0.0
18.473877,0.0
17.833984,0.0
19.42395,0.0
18.546509,0.0
18.96643,0.0
18.883911,0.0
18.765503,0.0
19.274536,0.0
17.28064,0.0
18.832764,0.0
19.099976,0.0
14.767944,0.0
7.34729,0.0
13.743286,0.6876221
16.548462,0.0
16.44629,0.0
16.23767,0.0
14.364868,0.0
4.869385,0.0
4.703247,0.0
5.0998535,0.0
4.868164,0.0
5.512207,0.0
6.3237305,0.0
17.01538,0.0
18.301147,0.0
19.59497,0.0
12.724243,0.0
15.434448,0.0
15.831177,0.0
16.261108,0.0
17.889404,0.0
19.39392,0.0
16.093872,0.0
18.819946,0.0
18.770386,0.0
20.29895,0.0
13.418823,0.0
14.891846,0.0
16.857544,0.0
17.720459,0.0
21.05249,0.0
20.881958,0.0
20.904907,0.0
21.94165,0.0
23.071533,0.0
21.801758,0.0
21.671753,0.0
20.044678,0.0
22.486694,0.0
23.88086,0.0
22.950195,0.0
21.825073,0.0
20.714478,0.0
20.61731,0.0
20.485474,0.0
22.638306,0.0
24.045044,0.0
20.468994,0.0
21.032837,0.0
16.312012,0.0
15.947388,0.0
18.189209,0.0
20.658447,0.0
22.717163,0.0
23.417358,0.0
16.614136,0.0
15.29187,0.0
15.292725,0.0
13.386963,0.0
11.175415,0.0
12.7146,0.0
6.7371826,0.0
8.8302,0.0
11.813843,0.0
18.523438,0.0
19.098389,0.0
20.5625,0.0
19.778442,0.0
19.87976,0.0
17.277832,0.0
19.628662,0.0
18.421753,0.0
18.109497,0.0
14.651123,0.0
14.401367,0.0
12.776367,0.0
12.968994,0.0
11.438599,0.0
14.112915,0.0
14.207275,0.0
15.1883545,0.0
15.89978,0.0
17.41455,0.0
13.511108,0.0
14.191162,0.0
17.258179,0.0
17.253418,0.0
17.521606,0.0
17.30017,0.0
11.768066,0.0
10.045898,0.0
10.753906,0.0
10.426147,0.0
11.933228,0.0
16.805542,0.0
16.82251,0.0
21.562134,0.0
18.427979,0.0
12.753784,0.0
11.427246,0.0
9.011963,0.0
7.975342,0.0
16.763428,0.0
19.87085,0.0
23.952515,0.0
22.446167,0.0
20.881714,0.0
17.954834,0.0
16.050293,0.0
17.234375,0.0
19.041016,0.0
17.63379,0.0
16.653687,0.0
15.086914,0.0
12.558594,0.0
12.925781,0.0
11.894409,0.0
8.748901,0.0
18.58606,0.0
18.301758,0.0
18.765625,0.0
18.625488,0.0
17.84607,0.0
18.605713,0.0
19.72107,0.0
19.755005,0.0
18.945557,0.0
18.715576,0.0
20.162231,0.0
17.734863,0.0
19.282104,0.0
17.151367,0.0
17.906982,0.0
24.04773,0.0
15.983276,0.0
19.071411,0.0
21.406982,0.0
12.639526,0.0
7.8741455,0.0
10.303345,0.0
17.013428,0.0
18.43274,0.0
18.232178,0.0
20.603638,0.0
19.355225,0.0
19.157593,0.0
20.182251,0.0
19.478394,0.0
19.371216,0.0
18.422852,0.0
15.956177,0.0
14.640869,0.0
16.855347,0.0
22.97876,0.0
25.836304,0.0
20.714478,0.0
15.67395,0.0
14.812378,0.0
14.41333,0.0
14.110352,0.0
13.778809,0.0
18.110962,0.0
20.06958,0.0
18.14087,0.0
18.379883,0.0
19.248413,0.0
19.794434,0.0
16.912842,0.0
17.836548,0.0
16.10852,0.0
14.836548,0.0
17.251465,0.0
18.997314,0.0
18.577637,0.0
13.98291,0.0
17.501831,0.0
19.196777,0.0
19.013306,0.0
18.377563,0.0
20.097656,0.0
13.474121,0.0
7.755615,0.0
14.066772,0.0
14.401123,1.8126221
15.05835,0.0
20.431519,0.0
20.218262,0.0
19.612183,0.0
20.961426,0.0
17.954956,0.0625
18.863281,0.0
17.691284,0.0
18.17456,0.0
16.403809,0.0
20.787598,0.0
18.28772,0.0
17.338501,0.0
18.073486,0.0
17.225708,0.0
18.00647,0.0
20.908081,0.0
18.785645,0.46887207
17.940552,0.0
16.584106,0.0
14.3498535,0.0
16.993286,0.0
15.40625,0.0
14.078003,0.0
14.6241455,0.0
13.93396,0.0
13.321899,0.0
17.265503,0.0
16.815552,0.0
18.308228,0.0
23.041626,0.0
24.63684,0.0
22.375122,0.0
22.480835,0.0
19.681885,0.0
20.789795,0.0
14.839722,0.0
