preds,trues
227.86768,153.6875
3813.2183,3538.3125
2724.3086,2256.3125
2053.6467,1713.875
3934.143,4362.4375
2452.0483,2806.4375
3933.3662,4529.5
3433.0615,5487.8125
3612.8887,4783.5
4114.604,3658.5
1771.8573,1501.375
2648.7737,2961.5625
1858.0542,3603.3125
2606.6807,1897.0
3440.75,2935.75
4128.0273,3520.75
2686.6882,2642.8125
2326.7822,1378.375
2923.066,2584.125
2628.9504,2456.9375
2415.232,2706.5
2093.1814,1121.8125
1819.8712,2373.75
2202.3347,2080.875
1613.4086,1795.0
1553.8066,1651.6875
1569.8293,1636.3125
1409.9008,940.125
768.3526,672.375
1432.7191,892.5625
840.7889,660.5
474.4328,596.87506
621.0724,340.375
426.6692,380.875
329.2307,264.875
450.61737,422.8125
1016.9668,713.62506
1170.4406,1585.9375
1293.3916,1076.375
693.1403,542.56256
970.9969,789.81256
765.90906,814.25006
774.1544,747.875
1010.9156,1260.875
1142.937,1216.25
1001.1116,713.62506
1273.0743,1429.375
1282.6687,1261.625
1109.7378,840.12506
404.19238,885.5625
157.26941,0.0
613.4081,397.0
185.47632,1838.3125
221.91748,303.3125
380.94965,299.125
418.44196,448.75
659.9828,237.625
745.7764,451.5
292.20386,299.8125
263.95862,222.25
200.89587,113.875
130.28125,104.8125
186.17542,205.4375
179.69629,407.50006
362.8902,464.06256
210.95813,150.87512
203.27136,157.87512
169.23694,95.0
235.37463,106.18762
425.83527,277.4375
160.1836,2.0625
207.3794,212.4375
282.80627,113.18762
429.44995,596.9375
198.36194,223.50012
190.7528,204.75012
346.7765,117.375
336.17828,266.96875
387.609,107.625
468.95715,269.75
228.71875,252.9375
383.057,330.56256
388.4494,321.50012
333.53918,278.875
339.87964,283.40625
348.4568,264.125
241.28784,290.0
172.76624,37.6875
100.958374,137.0
162.2893,130.625
121.89368,133.40637
133.0459,123.6875
119.07898,135.5625
153.21289,124.3125
200.39221,62.125122
221.9347,118.06262
299.64246,454.93756
239.93591,124.3125
111.78345,41.875
103.45972,66.37512
127.28247,99.25012
124.90564,29.312622
134.03748,93.625
103.54358,77.5
133.26233,68.4375
98.99414,20.53125
183.69727,131.25
110.637695,101.31262
112.54529,127.875
133.38928,136.93762
117.335205,44.0
88.759155,32.75
61.710815,32.0625
75.901855,41.125122
93.32715,50.250122
92.30713,39.0625
159.28601,104.40625
154.91931,132.75
174.151,147.4375
173.69373,130.28125
180.75989,147.40637
197.2998,201.9375
158.39392,120.125
103.109985,51.6875
195.30542,121.5625
125.24695,113.18762
152.4292,61.500122
168.87756,89.4375
189.34802,104.4375
139.44482,163.5
163.45569,185.87512
137.62024,93.625
161.75464,94.31262
111.14966,33.500122
88.59119,155.125
90.306274,69.1875
87.95618,43.9375
72.316895,59.03125
84.03589,26.15625
83.1189,57.65625
104.39465,77.5625
109.244385,85.25012
69.59119,153.00012
144.40344,143.59387
249.56018,235.15637
60.872803,196.4375
161.70728,135.25012
284.03735,52.3125
98.21057,44.625
98.704834,51.656372
151.22864,74.75
129.90894,58.0
100.65234,62.1875
94.31714,81.0
64.02344,76.8125
300.35986,130.6875
248.5625,25.437622
132.54688,190.0625
154.86926,153.6875
107.49072,39.0625
87.921875,100.625
173.14148,219.4375
195.41797,122.93762
197.0404,192.625
368.78467,90.75
441.79364,353.62506
210.78247,173.25
192.34668,118.06262
103.683716,34.1875
67.92053,55.843872
80.96997,129.25
126.73401,204.75012
208.63501,123.0625
139.06616,109.6875
160.95984,113.18762
108.722534,143.5625
114.859375,81.0
229.63354,81.8125
104.21912,90.8125
87.277466,27.9375
85.21814,35.625
63.82129,24.03125
83.077515,50.21875
66.878784,18.125
62.831177,20.875
60.140747,20.9375
67.73193,32.0625
84.88977,41.1875
93.74304,80.3125
119.62781,48.1875
75.68628,18.125
84.50281,38.437622
1867.9392,2483.5625
3154.9766,3296.4375
1025.5079,793.31256
1486.4193,963.4375
364.18304,260.62512
1667.7446,1077.125
1001.62744,1303.5625
1053.0724,653.5
1656.2764,963.875
2631.363,2378.625
1626.7174,1591.5625
897.0919,911.4375
490.49573,422.12506
427.15814,1272.8125
668.33234,709.4375
460.07123,1014.875
843.0916,603.25
1178.7947,575.53125
703.4467,731.5
888.871,1728.5312
1280.3927,1001.625
810.12506,347.375
392.1339,395.62506
356.04407,221.5
521.4364,464.06256
434.00702,534.0
571.8966,498.3125
294.71252,427.00006
322.03296,880.6875
1526.1453,1239.6562
454.2694,773.0
1234.9673,1362.25
291.17944,323.62512
241.99585,610.125
335.9704,398.37506
248.04272,48.875
478.54688,404.625
377.76923,1223.9062
996.53845,831.75006
598.43225,267.68762
207.46387,605.25006
516.1271,136.25
200.70923,141.125
536.41534,976.5
1077.6208,1009.3125
882.0027,1320.3125
141.24573,0.0
76.823364,0.0
85.76477,0.0
257.27795,1052.5938
1091.3632,1062.375
848.97217,999.5
880.72217,840.12506
1016.6775,1567.0625
1126.0374,1168.6875
974.53925,1342.0
1653.2139,1685.875
735.5369,691.9375
1255.7407,1012.8125
785.12036,563.5625
561.07434,961.375
924.74884,997.03125
668.3454,794.0
837.0193,928.25
806.8584,427.6875
684.18054,600.37506
340.1637,0.0
623.3626,982.0625
1271.945,1247.625
1033.0264,1494.0625
942.1987,830.75
255.61633,0.34375
845.4703,685.68756
462.04144,680.75
448.46484,1157.5
980.52234,1282.625
606.69727,824.75006
960.3318,1021.875
1021.4645,1297.2812
1218.2891,1503.0938
516.2143,917.75
467.14917,373.25
552.9972,194.9375
393.57843,476.0
263.42188,153.00012
248.24402,307.50012
221.75427,180.3125
252.48877,198.4375
307.61536,442.43756
545.3905,516.1563
435.66528,582.53125
675.8055,1091.8125
712.7205,782.125
583.8795,641.56256
592.6204,604.5625
726.553,664.0
446.87982,355.0625
454.15656,409.21875
446.6095,431.18756
641.4474,529.75
397.77142,385.8125
471.26355,371.8125
482.02704,399.75
320.84534,109.375
232.00159,154.09375
183.02234,89.71875
285.9375,259.3125
223.75342,100.5625
235.14612,135.5
240.97363,203.375
229.64026,116.0
234.11353,160.34387
73.88049,6.187622
506.5786,536.75
422.69513,676.5625
502.748,385.8125
529.6271,328.43762
351.8437,4.125
156.57617,622.68756
968.35065,1151.1875
687.68896,968.0
340.61652,198.4375
334.14636,20.1875
366.70258,371.8125
278.04736,11.15625
328.89392,317.3125
287.1255,316.5625
441.1283,632.5
495.41144,727.62506
129.60388,198.4375
162.34607,164.1875
198.0315,167.6875
117.10791,95.75
429.83655,186.93762
395.08618,384.0625
339.3841,408.875
389.71625,374.9375
498.4698,405.37506
399.40918,404.75006
328.41284,421.43756
498.32996,366.25
486.9828,371.8125
398.12335,622.4063
532.64374,428.43756
547.48755,498.3125
492.84375,360.62506
387.68353,319.37512
348.06757,283.75
366.8235,62.875
134.84985,28.59375
77.80432,23.0625
188.71716,183.68762
166.82703,37.0
4526.1475,3868.9375
2941.4312,3316.6875
3100.0415,2622.625
3189.64,4463.75
2730.527,2618.375
2090.0894,2041.75
2015.8851,1890.0
3871.2476,3799.6875
3917.1138,3960.4688
3164.1145,3146.8125
5613.4404,5759.6875
3935.1519,4747.0625
4818.3584,3678.75
4045.955,3741.6875
2654.5576,2054.3125
2857.7598,2709.9375
3139.1377,3415.2188
3487.6333,3085.3125
1963.6852,1747.4375
4410.3228,5301.1875
6027.72,6662.8125
5820.1787,3708.125
2780.1533,2229.75
2330.1206,2485.625
2809.563,3985.625
1954.7526,2115.125
2599.1343,3475.375
2637.964,2456.9375
2084.053,2424.0625
1450.581,1547.6875
2298.745,1987.25
1141.4572,835.9375
2153.6504,1633.5
1826.7797,2515.9375
1729.0005,1836.875
2960.8643,3409.625
1116.4001,529.8125
1007.5721,712.9375
2265.8413,3324.25
1605.4137,1997.0
3944.7012,3534.75
3775.9634,3008.4375
1950.24,1773.3125
2038.5112,1933.375
2206.2715,1572.0
2418.2634,2196.1875
1764.8132,1332.9375
1670.7795,1051.1875
2055.078,1977.0312
2408.9214,2728.4688
3520.2769,3979.3125
