preds,trues
197.50818,167.00012
167.77454,170.5
237.72766,202.625
72.2345,223.625
262.1305,138.3125
182.9718,215.875
158.57996,83.12512
194.93921,164.87512
186.61035,106.18762
821.6974,685.3125
758.55035,437.15625
645.07275,473.15625
458.62018,357.0938
754.39453,1154.375
631.36176,962.78125
1236.4763,1802.3125
509.81525,622.75
606.3008,455.6875
384.75873,363.43756
386.97174,293.50012
681.9645,1033.75
363.7893,383.0
363.57886,271.1875
379.52472,401.1875
466.2398,368.31256
413.61035,380.1875
1112.1217,1211.25
551.6935,1005.75
683.3307,1065.875
403.66327,388.56256
299.4524,192.125
357.0216,239.75
486.739,438.9375
461.34747,321.50012
366.03107,359.25
532.0733,683.5625
745.2374,475.93756
415.50323,378.8125
324.0315,170.5
287.87805,269.75
371.31232,364.125
334.67487,391.37506
609.6574,443.06256
322.44604,243.93762
373.6864,290.75
476.30414,588.50006
702.5992,963.125
479.7613,863.875
597.2614,379.46875
567.389,489.96875
589.60596,370.75
561.5398,964.1875
652.05786,378.50006
423.6767,437.875
464.03705,300.125
398.09204,455.31256
384.1156,608.8125
533.6304,443.06256
539.7612,571.87506
409.91284,329.875
446.18518,327.0625
278.4004,357.8125
437.42395,448.0
581.4516,1276.3125
528.3863,694.125
464.38977,473.875
500.64252,495.5
501.289,1188.25
1160.1606,1092.5
1502.9241,1952.25
1310.5369,2113.6875
789.72174,985.5
2183.666,1959.9375
895.49884,727.5625
1105.6073,1960.625
431.7912,513.03125
471.92468,508.78125
556.9087,1031.0
467.1671,460.21875
596.99164,1134.4062
350.3806,464.43756
614.52026,359.62506
483.7967,467.5625
442.17194,292.59375
468.80444,535.0313
406.5302,144.625
212.65002,184.4375
286.52002,808.6875
277.07666,406.75
552.06104,351.56256
489.20886,297.75012
554.74194,370.37506
286.88745,365.56256
406.45905,471.06256
834.3925,677.9375
409.67676,480.25006
446.50787,413.0625
338.1902,348.0625
433.31403,550.75
779.4928,559.875
309.28577,332.0
451.76477,446.625
516.84607,470.37506
378.0935,304.75012
400.30548,498.3125
365.62402,435.43756
349.9839,341.75006
247.40686,271.1875
426.00818,246.34375
331.70746,166.59375
189.21582,125.03125
222.29333,187.59375
483.21643,408.12506
560.5137,583.25
253.44263,473.875
769.3177,668.125
500.18512,606.6875
822.20184,1243.125
400.28662,443.8125
278.33508,283.75
408.87097,277.09387
379.5188,467.87506
335.94458,289.68762
346.85394,391.37506
333.52698,330.56256
690.8326,290.0625
307.17126,333.375
291.13513,203.375
259.57495,284.4375
428.4027,234.125
476.328,218.0625
375.23346,137.625
287.0393,270.4375
403.7011,327.8125
216.26562,303.625
287.5293,241.78125
407.80298,416.15625
547.47894,555.625
431.56232,455.6875
310.1277,243.1875
276.00867,136.93762
280.35046,162.0625
329.26434,320.0625
218.13,195.00012
254.69751,274.62512
388.4522,311.6875
141.37708,79.625
230.88,590.5625
784.8136,705.9375
763.1128,700.3125
486.17273,433.31256
393.70178,388.56256
351.98157,320.75
600.9074,675.18756
660.96326,485.68756
644.4916,770.93756
409.4344,383.6875
352.2987,557.75
624.41473,606.625
635.8133,671.0
460.40588,614.37506
739.30255,734.5625
503.46924,583.625
742.7013,720.5625
1093.3851,993.9375
373.26678,251.21887
510.48297,695.8125
321.854,259.25
371.7987,406.75
357.3205,384.37506
346.40826,350.87506
534.6703,410.375
455.70337,416.9063
434.27356,334.75006
432.6322,471.75
581.82935,399.8125
492.91718,775.875
541.57043,536.37506
496.6037,437.5
824.9952,593.37506
519.50415,450.375
510.86017,380.25
654.88477,566.8125
966.4971,1231.5625
706.2851,753.84375
523.9644,627.625
673.02997,732.50006
