,is4G,is3G,is2G,speed,RSRP,RSRQ,RSSI,SNR,CQI,UL_Bandwidth,bandwidth
0,1.0,0.0,0.0,1.0,-95.0,-13.0,-81.0,3.445104674453125,7.0,0.0,0.6875
1,1.0,0.0,0.0,0.0,-95.47128104620114,-12.471281046201138,-78.0,3.9999999999999996,8.0,38.9375,1771.9375
2,1.0,0.0,0.0,0.0,-96.0,-12.0,-79.83018201658781,3.9999999999999996,8.75,45.03125,2386.65625
3,1.0,0.0,0.0,0.0,-95.0,-13.0,-82.33018201658781,3.0,9.5,48.5625,2554.125
4,1.0,0.0,0.0,0.0,-95.0,-14.0,-76.88587392869641,2.0,9.5,30.75,1567.875
5,1.0,0.0,0.0,0.0,-93.0,-14.0,-76.0,2.0,10.0,43.25,1823.5625
6,1.0,0.0,0.0,0.0,-93.0,-14.0,-78.0,1.0000000000000004,8.0,26.5625,1317.5
7,1.0,0.0,0.0,0.0,-94.0,-13.0,-78.0,0.0,8.0,26.375,1409.8125
8,1.0,0.0,0.0,0.0,-95.0,-14.0,-78.0,1.0000000000000004,8.0,28.875,1554.5
9,1.0,0.0,0.0,0.0,-95.0,-13.0,-78.0,0.0,8.0,16.625,912.125
10,1.0,0.0,0.0,0.0,-95.0,-15.0,-78.0,0.0,8.0,33.0,1193.125
11,1.0,0.0,0.0,0.0,-94.0,-14.0,-77.47128104620114,1.0000000000000004,8.0,33.15625,1926.375
12,1.0,0.0,0.0,0.0,-93.47128104620114,-14.0,-77.55489532554688,0.5287189537988601,8.0,23.4375,838.0625
13,1.0,0.0,0.0,0.0,-91.88587392869641,-14.0,-74.88587392869641,0.0,8.0,43.5625,1884.4375
14,1.0,0.0,0.0,0.0,-92.24595133227496,-14.0,-76.88587392869641,0.5287189537988601,8.0,18.6875,1007.9375
15,1.0,0.0,0.0,0.0,-90.03707201955287,-13.47128104620114,-72.55489532554688,1.528718953798861,8.5,67.3125,3360.6875
16,1.0,0.0,0.0,0.0,-85.55489532554688,-13.0,-69.22020246011415,2.5287189537988604,9.0,29.9375,1651.625
17,1.0,0.0,0.0,0.0,-86.67834375675554,-13.885873928696416,-76.88587392869641,1.4451046744531242,8.0,9.875,483.625
18,1.0,0.0,0.0,0.0,-94.47128104620114,-14.471281046201142,-76.0,-1.47128104620114,7.0,19.3125,970.125
19,1.0,0.0,0.0,0.0,-96.03707201955287,-14.885873928696416,-81.88587392869641,-2.47128104620114,5.5,12.25,360.625
20,1.0,0.0,0.0,0.0,-100.0,-16.0,-79.47128104620114,-3.0000000000000004,2.75,12.40625,309.90625
21,1.0,0.0,0.0,0.0,-96.0,-15.0,-77.9808905397116,-7.0,6.5,3.5,190.0625
22,1.0,0.0,0.0,0.0,-97.0,-14.0,-82.4808905397116,-2.0,7.0,7.625,415.125
23,1.0,0.0,0.0,0.0,-100.0,-16.0,-85.47128104620114,-5.0,5.5,6.1875,191.4375
24,1.0,0.0,0.0,0.0,-102.0,-15.0,-88.0,-2.0,4.0,6.9375,247.375
25,1.0,0.0,0.0,0.0,-101.0,-14.0,-84.0,-6.0,9.0,6.625,356.4375
26,1.0,0.0,0.0,0.0,-100.0,-13.0,-82.88587392869641,-2.0,7.5,11.5625,621.3125
27,1.0,0.0,0.0,0.0,-99.0,-14.0,-80.88587392869641,1.0000000000000004,7.0,9.5625,563.375
28,1.0,0.0,0.0,0.0,-99.0,-14.0,-82.0,2.0,7.0,7.875,427.0
29,1.0,0.0,0.0,0.0,-99.74280839205792,-14.0,-83.47128104620114,1.2571916079420598,7.75,9.78125,570.3125
30,1.0,0.0,0.0,0.0,-99.47128104620114,-14.0,-82.0,0.5287189537988601,5.0,15.75,638.1875
31,1.0,0.0,0.0,0.0,-100.24595133227496,-14.0,-82.55489532554688,0.0,7.5,14.3125,915.8125
32,1.0,0.0,0.0,0.0,-100.88587392869641,-14.0,-79.81698947597887,1.1141260713035854,7.5,13.3125,1014.1875
33,1.0,0.0,0.0,0.0,-98.24595133227496,-13.47128104620114,-78.24595133227496,3.114126071303585,8.5,20.375,1133.0
34,1.0,0.0,0.0,0.0,-90.49533053638753,-12.471281046201138,-72.24595133227496,7.1830105240211335,9.0,32.5625,1746.875
35,1.0,0.0,0.0,0.0,-88.0,-12.0,-69.24595133227496,8.52871895379886,8.5,27.6875,1212.9375
36,1.0,0.0,0.0,0.0,-87.47128104620114,-12.0,-71.0,8.0,8.0,21.0,1283.375
37,1.0,0.0,0.0,0.0,-87.88587392869641,-12.471281046201138,-71.0,8.0,8.0,14.1875,1047.875
38,1.0,0.0,0.0,0.0,-87.88587392869641,-11.885873928696416,-71.0,8.0,8.0,12.4375,936.9375
39,1.0,0.0,0.0,0.0,-87.0,-11.0,-71.0,8.0,8.0,10.5,901.28125
40,1.0,0.0,0.0,0.0,-87.0,-12.0,-70.47128104620114,9.0,8.5,11.8125,1475.5625
41,1.0,0.0,0.0,0.0,-87.0,-10.0,-70.0,8.0,9.0,15.1875,1664.3125
42,1.0,0.0,0.0,0.0,-87.0,-10.0,-70.0,8.0,9.0,17.3125,805.1875
43,1.0,0.0,0.0,0.0,-88.0,-13.0,-70.88587392869641,5.999999999999998,10.0,9.3125,633.9375
44,1.0,0.0,0.0,0.0,-88.0,-13.0,-70.24595133227496,5.999999999999998,10.5,11.1875,824.75
45,1.0,0.0,0.0,0.0,-88.0,-13.0,-71.0,5.999999999999998,8.0,15.4375,740.9375
46,1.0,0.0,0.0,0.0,-89.0,-13.0,-71.0,5.999999999999998,8.0,17.3125,1437.125
47,1.0,0.0,0.0,0.0,-88.0,-12.0,-71.0,5.0,8.0,15.375,1378.4375
48,1.0,0.0,0.0,0.0,-87.0,-12.0,-71.0,5.999999999999998,8.0,12.125,989.71875
49,1.0,0.0,0.0,0.0,-87.47128104620114,-12.0,-71.0,5.999999999999998,8.0,17.125,822.6875
50,1.0,0.0,0.0,0.0,-88.0,-12.471281046201138,-71.0,5.999999999999998,8.0,15.625,820.5625
51,1.0,0.0,0.0,0.0,-86.88587392869641,-13.0,-69.0,5.999999999999998,9.0,12.5,961.75
52,1.0,0.0,0.0,0.0,-84.88587392869641,-13.0,-66.0,6.52871895379886,9.0,8.1875,572.5625
53,1.0,0.0,0.0,0.0,-82.88587392869641,-13.0,-67.55489532554688,5.445104674453125,8.0,8.6875,225.8125
54,1.0,0.0,0.0,0.0,-83.24595133227496,-14.24595133227496,-66.88587392869641,1.4451046744531242,7.0,4.6875,108.3125
55,1.0,0.0,0.0,0.0,-82.55489532554688,-16.0,-65.0,-1.47128104620114,8.0,4.0,106.1875
56,1.0,0.0,0.0,0.0,-79.24595133227496,-14.885873928696416,-62.81698947597886,-1.47128104620114,5.5,21.0625,998.125
57,1.0,0.0,0.0,0.0,-78.88587392869641,-12.245951332274958,-59.81698947597887,1.4451046744531242,10.5,21.0,1144.125
58,1.0,0.0,0.0,0.0,-80.0,-11.0,-61.57254075307732,3.0,13.5,27.0,1237.46875
59,1.0,0.0,0.0,0.0,-80.0,-8.0,-59.88587392869641,10.0,11.0,20.125,1084.0625
60,1.0,0.0,0.0,0.0,-76.0,-7.0,-59.88587392869641,13.0,10.5,20.0,949.875
61,1.0,0.0,0.0,0.0,-78.0,-7.0,-64.0,15.0,12.0,17.4375,902.375
62,1.0,0.0,0.0,0.0,-80.0,-8.0,-62.245951332274956,13.0,10.5,15.625,729.6875
63,1.0,0.0,0.0,0.0,-80.0,-9.0,-63.0,10.0,10.0,14.125,751.3125
64,1.0,0.0,0.0,0.0,-78.0,-13.0,-59.88587392869641,7.0,9.5,18.75,1012.125
65,1.0,0.0,0.0,0.0,-80.0,-9.0,-63.88587392869641,7.0,7.0,13.625,657.0
66,1.0,0.0,0.0,0.0,-82.0,-15.0,-65.0,3.0,6.0,17.5,947.125
