,is4G,is3G,is2G,speed,RSRP,RSRQ,RSSI,SNR,CQI,UL_Bandwidth,bandwidth
0,1.0,0.0,0.0,0.0,-104.90656439810235,-12.0,-83.0,5.314440850236051,8.0,51.90625,4254.375
1,1.0,0.0,0.0,0.0,-100.0,-12.0,-83.0,3.0,8.0,53.625,4531.625
2,1.0,0.0,0.0,0.0,-100.0,-13.0,-83.0,2.0,8.0,65.4375,3973.0625
3,1.0,0.0,0.0,0.0,-100.0,-12.0,-83.0,1.0000000000000004,8.0,64.4375,3722.125
4,1.0,0.0,0.0,0.0,-100.0,-13.0,-83.0,1.0000000000000004,8.0,62.375,3164.375
5,1.0,0.0,0.0,0.0,-100.0,-13.0,-83.0,1.0000000000000004,8.0,69.875,3771.0
6,1.0,0.0,0.0,0.0,-101.0,-13.0,-85.0,1.0000000000000004,9.0,78.125,3985.0
7,1.0,0.0,0.0,0.0,-103.0,-13.0,-85.0,3.9999999999999996,9.0,69.0,3740.3125
8,1.0,0.0,0.0,0.0,-101.47128104620114,-13.0,-85.0,3.9999999999999996,9.0,66.75,3680.96875
9,1.0,0.0,0.0,0.0,-101.0,-13.0,-85.0,3.9999999999999996,9.0,63.8125,3554.4375
10,1.0,0.0,0.0,0.0,-101.0,-12.471281046201138,-83.0,5.114126071303584,8.0,93.5,5254.375
11,1.0,0.0,0.0,0.0,-101.47128104620114,-12.885873928696414,-85.0,4.445104674453125,6.0,65.75,3495.0625
12,1.0,0.0,0.0,0.0,-101.47128104620114,-12.885873928696414,-85.0,3.754048667725041,6.0,97.75,4913.1875
13,1.0,0.0,0.0,0.0,-101.0,-12.471281046201138,-85.0,5.0,6.0,49.8125,2787.5625
14,1.0,0.0,0.0,0.0,-101.0,-13.0,-85.0,3.754048667725041,6.0,42.8125,2329.0
15,1.0,0.0,0.0,0.0,-101.0,-13.0,-83.47128104620114,2.0,8.25,56.125,2859.5625
16,1.0,0.0,0.0,0.0,-100.0,-13.0,-83.0,0.0,9.0,71.8125,3901.0625
17,1.0,0.0,0.0,0.0,-99.0,-12.0,-81.24595133227496,2.0,9.0,103.0625,5320.75
18,1.0,0.0,0.0,0.0,-99.0,-10.0,-82.88587392869641,8.0,9.0,79.4375,4481.1875
