,is4G,is3G,is2G,speed,RSRP,RSRQ,RSSI,SNR,CQI,UL_Bandwidth,bandwidth
0,1.0,0.0,0.0,0.0,-96.0,-12.0,-77.57254075307732,12.0,8.25,61.15625,4921.28125
1,1.0,0.0,0.0,0.0,-92.81698947597887,-12.0,-74.0,13.114126071303584,9.0,61.25,4804.25
2,1.0,0.0,0.0,0.0,-91.47128104620114,-12.0,-74.0,14.0,9.0,47.8125,3620.75
3,1.0,0.0,0.0,0.0,-91.47128104620114,-12.0,-74.0,14.0,9.0,55.875,4189.75
4,1.0,0.0,0.0,0.0,-91.0,-12.0,-74.0,13.114126071303584,9.0,57.625,3969.5625
5,1.0,0.0,0.0,0.0,-91.0,-12.0,-74.0,13.114126071303584,9.0,59.125,4365.875
6,1.0,0.0,0.0,0.0,-91.0,-12.0,-74.0,14.0,9.0,55.0625,3832.9375
7,1.0,0.0,0.0,0.0,-91.0,-12.0,-74.0,12.0,9.0,38.6875,2434.5625
8,1.0,0.0,0.0,0.0,-91.0,-12.0,-74.0,12.0,9.0,54.375,3824.875
9,1.0,0.0,0.0,0.0,-91.0,-13.0,-74.0,11.0,9.0,53.4375,3378.1875
10,1.0,0.0,0.0,0.0,-92.0,-13.0,-74.0,8.0,9.0,33.5625,2305.9375
11,1.0,0.0,0.0,0.0,-92.0,-13.0,-74.0,8.0,9.0,49.28125,3596.6875
12,1.0,0.0,0.0,0.0,-92.0,-12.471281046201138,-74.0,9.114126071303586,9.0,40.125,3121.0
13,1.0,0.0,0.0,0.0,-92.0,-10.885873928696414,-74.0,10.528718953798858,9.0,50.9375,3463.5
14,1.0,0.0,0.0,0.0,-92.0,-10.885873928696414,-74.0,11.0,9.0,64.4375,4723.125
15,1.0,0.0,0.0,0.0,-90.24595133227496,-12.471281046201138,-74.24280839205794,10.114126071303586,8.0,65.875,4618.9375
16,1.0,0.0,0.0,0.0,-90.55489532554688,-13.0,-75.09884880917306,9.0,8.0,49.5,3408.3125
17,1.0,0.0,0.0,0.0,-93.0,-13.0,-75.49884880917305,9.0,7.0,22.46875,1488.84375
18,1.0,0.0,0.0,0.0,-85.0,-9.0,-75.89884880917305,9.0,8.5,19.875,1279.75
19,1.0,0.0,0.0,0.0,-83.0,-12.0,-64.88587392869641,5.0,9.5,46.125,3404.8125
20,1.0,0.0,0.0,0.0,-92.0,-13.0,-75.0,9.0,5.0,34.375,2499.5625
21,1.0,0.0,0.0,0.0,-90.0,-12.0,-73.0,3.9999999999999996,9.0,47.46875,3654.3125
22,1.0,0.0,0.0,0.0,-89.47128104620114,-11.47128104620114,-72.47128104620114,4.52871895379886,7.5,40.6875,2924.5625
23,1.0,0.0,0.0,0.0,-89.47128104620114,-11.47128104620114,-72.88587392869641,10.628620384793983,7.5,67.0625,5392.75
24,1.0,0.0,0.0,0.0,-92.03707201955285,-12.471281046201138,-77.88587392869641,12.528718953798858,9.5,56.9375,4781.125
25,1.0,0.0,0.0,0.0,-96.0,-13.0,-77.57254075307732,11.52871895379886,9.0,48.375,3666.9375
26,1.0,0.0,0.0,0.0,-92.03707201955285,-12.471281046201138,-74.0,11.52871895379886,9.0,66.625,4621.6875
27,1.0,0.0,0.0,0.0,-90.0,-12.0,-76.88587392869641,12.0,9.0,36.3125,2281.4375
28,1.0,0.0,0.0,0.0,-104.0,-11.0,-88.81698947597886,-4.0,8.0,31.625,1947.375
29,1.0,0.0,0.0,0.0,-105.0,-10.0,-87.74280839205794,3.0,8.5,23.0625,1463.75
30,1.0,0.0,0.0,0.0,-104.0,-12.0,-89.22020246011414,3.9999999999999996,9.0,32.6875,1984.4375
31,1.0,0.0,0.0,0.0,-108.24595133227496,-12.74280839205794,-93.24280839205795,1.8144408502360516,6.25,24.21875,1497.9375
