,is4G,is3G,is2G,speed,RSRP,RSRQ,RSSI,SNR,CQI,UL_Bandwidth,bandwidth
0,1.0,0.0,0.0,2.0,-105.47128104620114,-13.47128104620114,-88.47128104620114,3.52871895379886,7.0,0.0,0.0
1,1.0,0.0,0.0,2.0,-105.0,-13.0,-88.88587392869641,3.114126071303585,8.5,1.0,4.75
2,1.0,0.0,0.0,2.0,-105.0,-13.0,-90.0,2.0,6.0,0.0,0.0
3,1.0,0.0,0.0,2.0,-105.0,-11.24595133227496,-88.0,3.52871895379886,8.0,9.5625,252.4375
4,1.0,0.0,0.0,2.0,-105.0,-11.24595133227496,-81.55489532554688,7.1830105240211335,7.5,30.8125,1459.4375
5,1.0,0.0,0.0,2.0,-105.0,-13.0,-80.0,4.093435601897661,8.0,22.65625,1203.59375
6,1.0,0.0,0.0,2.0,-98.0,-13.0,-88.24595133227496,6.114126071303585,6.5,34.3125,1860.0
7,1.0,0.0,0.0,2.0,-107.0,-14.0,-82.88587392869641,3.0,7.0,21.5,924.0625
8,1.0,0.0,0.0,2.0,-99.0,-13.0,-82.0,2.0,7.0,17.4375,861.8125
9,1.0,0.0,0.0,2.0,-100.0,-12.0,-83.0725407530773,1.0000000000000004,7.25,20.03125,1052.9375
10,1.0,0.0,0.0,2.0,-100.47128104620114,-12.885873928696414,-85.24595133227496,0.5287189537988601,8.0,11.375,545.125
11,1.0,0.0,0.0,2.0,-101.0,-14.0,-85.55489532554688,0.0,8.0,12.3125,661.875
12,1.0,0.0,0.0,2.0,-102.24595133227496,-14.0,-88.0,0.0,8.0,12.75,677.0
13,1.0,0.0,0.0,2.0,-102.24595133227496,-14.0,-85.0,0.0,9.0,10.8125,582.1875
14,1.0,0.0,0.0,2.0,-101.24280839205794,-14.0,-85.0,0.2571916079420594,9.0,37.1875,1733.125
15,1.0,0.0,0.0,2.0,-102.0,-14.0,-83.88587392869641,1.0000000000000004,9.0,25.5,1363.6875
16,1.0,0.0,0.0,2.0,-100.0,-14.0,-84.55489532554688,0.0,7.5,12.1875,492.0
17,1.0,0.0,0.0,2.0,-104.0,-15.0,-85.24595133227496,1.0000000000000004,7.0,10.1875,548.6875
18,1.0,0.0,0.0,2.0,-103.0,-15.0,-81.55489532554688,-1.0,6.5,11.125,485.75
19,1.0,0.0,0.0,2.0,-101.47128104620114,-15.742808392057942,-84.0,-1.0,7.0,10.34375,492.75
20,1.0,0.0,0.0,2.0,-102.24595133227496,-16.0,-78.67834375675554,-1.47128104620114,7.0,25.6875,1387.4375
21,1.0,0.0,0.0,2.0,-102.88587392869641,-15.471281046201142,-81.81698947597886,-0.8858739286964151,6.5,18.625,820.375
22,1.0,0.0,0.0,2.0,-102.0,-15.471281046201142,-83.88587392869641,-0.47128104620113964,7.0,26.5625,1266.5
23,1.0,0.0,0.0,2.0,-103.24595133227496,-16.0,-82.37137961520601,-0.47128104620113964,6.0,7.8125,420.75
24,1.0,0.0,0.0,2.0,-105.0,-16.0,-78.47128104620114,0.0,7.75,14.125,769.5625
25,1.0,0.0,0.0,2.0,-95.0,-15.0,-82.0,0.0,6.0,29.25,1281.25
26,1.0,0.0,0.0,2.0,-98.0,-14.0,-80.0,0.0,7.0,7.0625,252.3125
27,1.0,0.0,0.0,2.0,-94.0,-13.0,-77.88587392869641,2.0,6.5,13.8125,649.3125
