,is4G,is3G,is2G,speed,RSRP,RSRQ,RSSI,SNR,CQI,UL_Bandwidth,bandwidth
0,1.0,0.0,0.0,2.0,-82.0,-6.0,-71.0,13.0,7.0,39.125,2219.0
1,1.0,0.0,0.0,2.0,-87.47128104620114,-12.471281046201138,-71.0,6.962927980447143,7.0,38.25,2560.375
2,1.0,0.0,0.0,2.0,-86.74280839205794,-12.74280839205794,-69.0,3.2571916079420586,6.0,35.4375,2438.40625
3,1.0,0.0,0.0,2.0,-86.0,-12.0,-69.0,3.9999999999999996,6.0,29.875,1843.1875
4,1.0,0.0,0.0,2.0,-86.0,-13.0,-66.55489532554688,3.0,6.0,39.5625,2115.8125
5,1.0,0.0,0.0,2.0,-82.0,-14.0,-60.55489532554688,3.0,8.0,29.375,1717.375
6,1.0,0.0,0.0,2.0,-76.0,-13.0,-63.88587392869641,2.0,6.5,31.8125,1672.0
7,1.0,0.0,0.0,2.0,-76.74280839205794,-11.47128104620114,-60.68555914976395,2.7571916079420595,7.75,30.53125,1886.5625
8,1.0,0.0,0.0,2.0,-79.49533053638751,-12.245951332274958,-68.88587392869641,2.5287189537988604,9.5,42.5625,2143.0625
9,1.0,0.0,0.0,2.0,-86.47128104620114,-14.0,-70.0,1.528718953798861,7.0,30.9375,1694.3125
10,1.0,0.0,0.0,2.0,-85.24595133227496,-14.471281046201142,-62.220202460114145,0.11412607130358521,6.5,20.8125,1193.8125
11,1.0,0.0,0.0,2.0,-82.88587392869641,-15.0,-63.0,-1.2428083920579402,6.0,23.8125,1486.375
12,1.0,0.0,0.0,2.0,-80.0,-15.0,-63.88587392869641,-2.0,7.0,33.625,2324.125
13,1.0,0.0,0.0,2.0,-83.0,-12.0,-67.88587392869641,3.0,6.5,28.0625,1780.25
14,1.0,0.0,0.0,2.0,-86.0,-15.0,-66.55489532554688,0.0,7.0,23.125,1474.875
15,1.0,0.0,0.0,2.0,-83.0,-12.0,-63.24595133227496,-1.0,8.0,48.0625,2266.75
16,1.0,0.0,0.0,2.0,-77.40656439810235,-12.74280839205794,-59.685559149763954,-1.0,6.25,21.21875,985.90625
17,1.0,0.0,0.0,2.0,-76.0,-13.885873928696416,-60.816989475978865,-1.8858739286964152,7.0,21.8125,1272.125
18,1.0,0.0,0.0,2.0,-76.47128104620114,-13.885873928696416,-58.88587392869641,-1.8858739286964152,6.0,32.3125,1959.25
19,1.0,0.0,0.0,2.0,-75.24595133227496,-13.0,-58.0,-0.47128104620113964,6.0,40.4375,2471.625
20,1.0,0.0,0.0,2.0,-74.0,-12.471281046201138,-58.0,2.445104674453125,6.0,46.375,2812.0
21,1.0,0.0,0.0,2.0,-73.74280839205794,-12.0,-55.0,4.814440850236052,8.0,55.625,4298.0625
22,1.0,0.0,0.0,2.0,-73.0,-12.0,-53.24595133227496,7.0,10.0,44.9375,3745.1875
23,1.0,0.0,0.0,2.0,-69.0,-12.0,-52.0,7.0,12.0,63.375,3919.25
24,1.0,0.0,0.0,2.0,-70.0,-12.0,-47.88587392869641,7.0,13.0,131.75,6868.3125
25,1.0,0.0,0.0,2.0,-64.0,-10.0,-48.03707201955285,12.0,11.5,140.1875,7640.0
26,1.0,0.0,0.0,2.0,-66.0,-11.0,-46.55489532554688,16.999999999999996,13.5,135.6875,6706.125
27,1.0,0.0,0.0,2.0,-66.0,-11.0,-42.88587392869641,19.0,11.5,246.125,9309.5625
28,1.0,0.0,0.0,2.0,-64.24595133227496,-11.0,-42.03707201955286,18.528718953798858,12.5,141.875,6253.1875
29,1.0,0.0,0.0,2.0,-61.245951332274956,-11.0,-44.55489532554687,18.528718953798858,15.0,146.4375,5862.4375
30,1.0,0.0,0.0,2.0,-62.220202460114145,-11.0,-50.0,18.528718953798858,12.0,96.5,4904.8125
31,1.0,0.0,0.0,2.0,-65.24595133227496,-11.47128104620114,-49.49533053638751,18.0,12.0,103.3125,4858.6875
32,1.0,0.0,0.0,2.0,-66.03707201955287,-11.47128104620114,-53.0,17.52871895379886,12.0,109.4375,5675.125
33,1.0,0.0,0.0,2.0,-71.24595133227496,-11.242808392057942,-59.0,16.314440850236053,8.0,146.5625,5260.28125
34,1.0,0.0,0.0,2.0,-76.0,-12.0,-59.0,14.0,8.0,100.25,4105.125
35,1.0,0.0,0.0,2.0,-75.0,-9.0,-54.245951332274956,12.0,10.0,85.0625,4333.75
36,1.0,0.0,0.0,2.0,-73.0,-12.0,-57.55489532554687,12.0,10.5,38.75,2087.1875
