,is4G,is3G,is2G,speed,RSRP,RSRQ,RSSI,SNR,CQI,UL_Bandwidth,bandwidth
0,1.0,0.0,0.0,0.0,-116.0,-13.0,-94.0,3.0,5.0,25.125,1612.5625
1,1.0,0.0,0.0,0.0,-116.0,-13.0,-94.0,3.9999999999999996,6.0,19.375,1110.625
2,1.0,0.0,0.0,0.0,-106.0,-13.0,-89.0,3.0,7.0,25.0,1590.1875
3,1.0,0.0,0.0,0.0,-105.24280839205794,-13.742808392057942,-89.0,4.52871895379886,7.0,42.5625,3080.75
4,1.0,0.0,0.0,0.0,-105.47128104620114,-14.0,-88.9968219047045,4.52871895379886,8.0,41.3125,2986.8125
5,1.0,0.0,0.0,0.0,-106.0,-13.47128104620114,-88.9925846165689,3.114126071303585,8.0,35.6875,2345.8125
6,1.0,0.0,0.0,0.0,-105.47128104620114,-13.0,-88.98834732843329,2.5287189537988604,7.0,40.5,3101.375
7,1.0,0.0,0.0,0.0,-105.0,-13.47128104620114,-88.98411004029771,2.5287189537988604,7.0,24.625,1897.6875
8,1.0,0.0,0.0,0.0,-105.24280839205794,-13.742808392057942,-88.97987275216211,1.7571916079420602,7.0,20.59375,1279.78125
9,1.0,0.0,0.0,0.0,-106.0,-13.0,-88.97563546402652,1.0000000000000004,7.0,26.875,1971.875
10,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.97139817589094,0.0,7.0,38.9375,2909.875
11,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.96716088775534,1.0000000000000004,7.0,28.5625,1879.5625
12,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.96292359961976,2.0,7.0,29.1875,1896.3125
13,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.95868631148416,1.0000000000000004,7.0,29.21875,2252.78125
14,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.95444902334857,1.0000000000000004,7.0,32.3125,2633.0625
15,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.95021173521297,1.0000000000000004,7.0,32.8125,2284.25
16,1.0,0.0,0.0,0.0,-105.47128104620114,-14.0,-88.94597444707736,1.0000000000000004,7.0,38.3125,2943.5625
17,1.0,0.0,0.0,0.0,-105.47128104620114,-14.0,-88.94173715894178,1.0000000000000004,7.0,36.9375,3169.1875
18,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.93749987080619,1.0000000000000004,7.0,34.5625,2855.3125
19,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.93326258267061,1.0000000000000004,7.0,36.375,2657.875
20,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.92902529453501,1.0000000000000004,7.0,25.875,1658.6875
21,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.92478800639941,1.0000000000000004,7.0,32.75,2213.6875
22,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.92055071826383,1.0000000000000004,7.0,31.75,2322.75
23,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.91631343012821,1.0000000000000004,7.0,22.6875,1418.25
24,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.91207614199261,1.0000000000000004,7.0,30.5,2144.875
25,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.90783885385703,1.0000000000000004,7.0,33.4375,2504.4375
26,1.0,0.0,0.0,0.0,-105.47128104620114,-14.0,-88.90360156572144,0.5287189537988601,7.0,32.375,2317.0625
27,1.0,0.0,0.0,0.0,-105.47128104620114,-14.0,-88.89936427758586,0.0,7.0,32.0625,2246.8125
28,1.0,0.0,0.0,0.0,-105.24280839205794,-14.0,-88.89512698945026,0.0,7.0,26.875,1863.46875
29,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.89088970131466,0.0,7.0,22.8125,1504.875
30,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.88665241317908,0.0,7.0,25.0,1548.875
31,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.88241512504348,0.0,7.0,21.5,1341.3125
32,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.8781778369079,-1.0,6.0,22.0625,1340.625
33,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.87394054877228,0.0,6.0,25.1875,1540.90625
34,1.0,0.0,0.0,0.0,-105.47128104620114,-14.0,-88.8697032606367,0.0,6.0,26.875,1736.3125
35,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.86546597250111,0.0,6.0,23.8125,1446.875
36,1.0,0.0,0.0,0.0,-105.47128104620114,-14.0,-88.86122868436551,0.5287189537988601,6.0,19.0625,1209.875
37,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.85699139622993,1.0000000000000004,6.0,26.3125,1632.125
38,1.0,0.0,0.0,0.0,-105.24280839205794,-14.0,-88.85275410809433,1.0000000000000004,6.0,25.25,1713.5625
39,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.84851681995872,1.0000000000000004,6.0,25.0625,1549.625
40,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.84427953182313,0.0,6.0,19.0,1135.8125
41,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.84004224368753,-1.0,6.0,16.0625,956.125
42,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.83580495555195,-1.0,6.0,15.6875,929.625
43,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.83156766741637,-2.0,6.0,18.125,1166.59375
44,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.82733037928077,-2.0,6.0,24.9375,1629.3125
45,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.82309309114518,-2.0,6.0,27.8125,1819.4375
46,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.81885580300958,-2.47128104620114,6.0,20.8125,1394.4375
47,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.81461851487398,-3.0000000000000004,6.0,25.1875,1548.25
48,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.8103812267384,-3.0000000000000004,6.0,21.0625,1282.625
49,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.80614393860279,-3.0000000000000004,6.0,10.8125,662.5625
50,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.8019066504672,-2.0,6.0,13.375,870.875
51,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.79766936233162,-1.0,6.0,20.1875,1287.5
52,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.79343207419602,0.0,6.0,10.75,637.4375
53,1.0,0.0,0.0,0.0,-105.24280839205794,-14.0,-88.78919478606043,0.0,6.0,10.875,638.09375
54,1.0,0.0,0.0,0.0,-105.47128104620114,-14.0,-88.78495749792484,0.5287189537988601,6.0,6.0625,348.6875
55,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.78072020978925,1.0000000000000004,6.0,6.6875,387.1875
56,1.0,0.0,0.0,0.0,-105.47128104620114,-14.0,-88.77648292165364,0.5287189537988601,6.0,8.6875,496.9375
57,1.0,0.0,0.0,0.0,-105.47128104620114,-14.0,-88.77224563351804,0.0,6.0,7.625,429.125
58,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.76800834538246,0.0,6.0,5.5625,302.96875
59,1.0,0.0,0.0,0.0,-107.0,-14.0,-88.76377105724687,-1.0,6.0,5.0,283.75
60,1.0,0.0,0.0,0.0,-107.0,-14.0,-88.75953376911129,-2.0,6.0,3.625,204.0
61,1.0,0.0,0.0,0.0,-107.0,-14.0,-88.75529648097569,-2.0,6.0,4.3125,219.4375
62,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.75105919284009,-1.0,6.0,7.875,459.875
63,1.0,0.0,0.0,0.0,-106.74280839205794,-14.0,-88.7468219047045,-2.47128104620114,6.0,7.9375,457.46875
64,1.0,0.0,0.0,0.0,-106.47128104620114,-14.0,-88.7425846165689,-2.47128104620114,6.0,5.75,327.1875
65,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.73834732843329,-2.0,6.0,6.375,359.875
66,1.0,0.0,0.0,0.0,-106.0,-13.47128104620114,-88.73411004029771,-1.47128104620114,6.0,7.625,443.0625
67,1.0,0.0,0.0,0.0,-106.0,-13.47128104620114,-88.72987275216212,-1.47128104620114,6.0,8.3125,472.4375
68,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.72563546402654,-2.0,6.0,7.375,413.75
69,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.72139817589094,-2.0,6.0,10.3125,596.1875
70,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.71716088775534,-1.0,6.0,8.125,468.3125
71,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.71292359961976,-2.0,6.0,9.1875,524.875
72,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.70868631148414,-2.0,6.0,8.34375,480.125
73,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.70444902334856,-1.47128104620114,6.0,9.9375,592.6875
74,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.70021173521296,-1.0,6.0,6.3125,340.375
75,1.0,0.0,0.0,0.0,-105.47128104620114,-14.0,-88.69597444707738,-0.47128104620113964,6.0,6.875,386.5
76,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.69173715894179,0.0,6.0,6.4375,373.25
77,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.68749987080619,0.0,6.0,7.5,429.09375
78,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.68326258267061,0.0,6.0,7.125,420.75
79,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.67902529453501,-1.0,6.0,6.625,390.0
80,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.67478800639941,-1.0,6.0,5.875,336.1875
81,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.67055071826383,-2.0,6.0,5.3125,281.625
82,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.66631343012821,-1.0,6.0,5.65625,307.84375
83,1.0,0.0,0.0,0.0,-105.47128104620114,-14.0,-88.66207614199263,-1.0,6.0,7.625,436.8125
84,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.65783885385704,-1.47128104620114,6.0,7.25,399.0625
85,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.65360156572144,-2.47128104620114,6.0,6.5625,390.6875
86,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.64936427758586,-3.0000000000000004,6.0,10.25,587.8125
87,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.64512698945026,-3.0000000000000004,6.0,6.65625,375.28125
88,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.64088970131465,-3.0000000000000004,6.0,8.75,494.8125
89,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.63665241317906,-3.0000000000000004,6.0,7.5,444.5
90,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.63241512504347,-3.0000000000000004,6.0,9.5,575.875
91,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.62817783690788,-3.0000000000000004,6.0,6.375,381.625
92,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.6239405487723,-2.0,6.0,7.59375,436.09375
93,1.0,0.0,0.0,0.0,-105.47128104620114,-14.0,-88.6197032606367,-2.47128104620114,6.0,7.9375,462.6875
94,1.0,0.0,0.0,0.0,-106.0,-14.0,-88.61546597250111,-3.0000000000000004,6.0,7.625,445.25
95,1.0,0.0,0.0,0.0,-105.47128104620114,-14.0,-88.61122868436551,-3.0000000000000004,6.0,10.5,647.9375
96,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.60699139622993,-3.0000000000000004,6.0,13.0,799.5625
97,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.60275410809433,-3.0000000000000004,6.0,7.125,436.84375
98,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.59851681995872,-3.0000000000000004,6.0,10.375,662.5625
99,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.59427953182313,-3.0000000000000004,6.0,5.0625,280.25
100,1.0,0.0,0.0,0.0,-105.0,-14.0,-88.59004224368755,-3.0000000000000004,6.0,9.4375,624.1875
101,1.0,0.0,0.0,0.0,-105.0,-13.0,-88.58580495555196,-3.0000000000000004,6.0,7.875,465.4375
