,is4G,is3G,is2G,speed,RSRP,RSRQ,RSSI,SNR,CQI,UL_Bandwidth,bandwidth
0,1.0,0.0,0.0,0.0,-108.47128104620114,-11.0,-92.0,4.52871895379886,10.0,24.0,1522.375
1,1.0,0.0,0.0,0.0,-108.88587392869641,-10.47128104620114,-92.0,3.9999999999999996,10.0,34.8125,2271.0
2,1.0,0.0,0.0,0.0,-110.0,-10.0,-93.47128104620114,3.9999999999999996,9.25,42.1875,2059.1875
3,1.0,0.0,0.0,0.0,-110.0,-10.0,-91.24595133227496,3.9999999999999996,9.0,40.875,3104.875
4,1.0,0.0,0.0,0.0,-110.0,-11.0,-84.67834375675552,5.0,8.5,63.9375,2185.0625
5,1.0,0.0,0.0,0.0,-98.0,-10.0,-79.55489532554688,9.0,11.0,83.75,2751.875
6,1.0,0.0,0.0,0.0,-97.0,-10.0,-78.24595133227496,12.0,10.0,82.375,2071.125
7,1.0,0.0,0.0,0.0,-94.68555914976395,-9.24280839205794,-77.01153675844321,13.52871895379886,11.5,79.03125,2028.0625
8,1.0,0.0,0.0,0.0,-94.0,-8.47128104620114,-77.02692137382782,15.114126071303584,12.0,46.6875,1567.0625
9,1.0,0.0,0.0,0.0,-94.0,-8.885873928696416,-77.04230598921244,16.528718953798858,12.0,88.625,4057.6875
10,1.0,0.0,0.0,0.0,-94.0,-10.0,-77.05769060459704,17.52871895379886,12.0,59.0,3668.9375
11,1.0,0.0,0.0,0.0,-94.0,-10.47128104620114,-77.07307521998166,17.114126071303588,12.0,25.1875,1989.25
12,1.0,0.0,0.0,0.0,-94.0,-11.0,-77.08845983536628,16.0,12.0,26.84375,1869.03125
13,1.0,0.0,0.0,0.0,-94.0,-11.0,-77.1038444507509,13.0,12.0,35.5,2482.0625
14,1.0,0.0,0.0,0.0,-94.0,-11.0,-77.1192290661355,12.0,12.0,29.75,3093.6875
15,1.0,0.0,0.0,0.0,-94.0,-11.0,-77.13461368152012,12.0,12.0,71.875,5608.0
16,1.0,0.0,0.0,0.0,-94.0,-11.0,-77.14999829690476,12.0,12.0,63.8125,4764.375
17,1.0,0.0,0.0,0.0,-94.74280839205792,-11.0,-77.16538291228935,12.0,12.0,37.1875,3845.1875
18,1.0,0.0,0.0,0.0,-94.47128104620114,-11.0,-77.18076752767396,12.0,12.0,52.0625,4075.125
19,1.0,0.0,0.0,0.0,-94.0,-11.0,-77.1961521430586,12.0,12.0,45.5625,4591.125
20,1.0,0.0,0.0,0.0,-93.47128104620114,-11.0,-77.21153675844322,13.114126071303584,12.0,34.6875,4484.0625
21,1.0,0.0,0.0,0.0,-93.47128104620114,-11.0,-77.2269213738278,13.52871895379886,12.0,30.875,3017.5625
22,1.0,0.0,0.0,0.0,-94.0,-11.0,-77.24230598921244,13.0,12.0,26.15625,1465.46875
23,1.0,0.0,0.0,0.0,-94.0,-11.0,-77.25769060459706,13.0,12.0,19.4375,1377.625
24,1.0,0.0,0.0,0.0,-93.0,-11.0,-77.27307521998168,13.0,12.0,23.5625,1314.0625
25,1.0,0.0,0.0,0.0,-94.0,-11.0,-77.28845983536628,15.0,12.0,34.0,1915.9375
26,1.0,0.0,0.0,0.0,-95.0,-11.0,-77.3038444507509,16.999999999999996,12.0,67.5,3662.25
