,is4G,is3G,is2G,speed,RSRP,RSRQ,RSSI,SNR,CQI,UL_Bandwidth,bandwidth
0,1.0,0.0,0.0,3.5,-108.0,-16.0,-91.88587392869641,3.0,6.0,31.0,1696.375
1,1.0,0.0,0.0,6.0,-108.0,-16.0,-91.88587392869641,3.0,8.0,22.625,1149.8125
2,1.0,0.0,0.0,6.0,-110.0,-13.0,-91.88587392869641,5.0,9.0,21.8125,1023.25
3,1.0,0.0,0.0,6.0,-108.0,-15.0,-89.88587392869641,5.0,9.5,17.8125,824.75
4,1.0,0.0,0.0,6.0,-106.0,-13.0,-89.88587392869641,7.0,8.5,22.0625,1191.75
5,1.0,0.0,0.0,6.0,-97.81698947597887,-13.742808392057942,-85.88587392869641,7.75719160794206,8.0,20.40625,1105.75
6,1.0,0.0,0.0,6.0,-98.03707201955285,-14.0,-83.88587392869641,7.528718953798858,9.5,25.125,1402.8125
7,1.0,0.0,0.0,6.0,-97.22020246011414,-12.245951332274958,-72.37137961520601,7.528718953798858,12.5,36.375,1936.875
8,1.0,0.0,0.0,6.0,-90.22020246011415,-9.885873928696416,-71.64723471538429,9.75404866772504,12.5,59.8125,3922.0625
9,1.0,0.0,0.0,6.0,-90.37137961520601,-11.037072019552859,-80.31390138205097,10.528718953798858,9.0,59.5625,4449.75
10,1.0,0.0,0.0,6.0,-96.47128104620114,-12.191505156619192,-80.0,11.814440850236052,11.0,60.4375,4037.71875
11,1.0,0.0,0.0,6.0,-98.0,-6.0,-80.0,14.0,11.0,47.4375,3061.5625
12,1.0,0.0,0.0,6.0,-96.0,-11.0,-77.4205349799166,-1.0,6.0,51.5,2449.25
13,1.0,0.0,0.0,6.0,-96.0,-13.0,-73.88587392869641,3.9999999999999996,12.5,111.875,6366.375
14,1.0,0.0,0.0,6.0,-90.0,-12.0,-73.3732013537151,14.0,10.5,192.9375,10793.9375
15,1.0,0.0,0.0,6.0,-88.0,-12.0,-73.87320135371509,12.0,9.0,98.6875,8421.5
16,1.0,0.0,0.0,6.0,-90.88587392869641,-12.0,-74.0,12.0,9.0,76.875,7867.875
17,1.0,0.0,0.0,6.0,-89.55489532554688,-12.0,-73.37137961520601,11.114126071303584,8.5,91.625,9907.5625
18,1.0,0.0,0.0,6.0,-89.55489532554688,-12.0,-77.03707201955285,10.528718953798858,9.5,73.1875,8209.0
19,1.0,0.0,0.0,6.0,-94.03707201955285,-12.471281046201138,-81.0,10.114126071303586,9.0,71.375,5748.5
20,1.0,0.0,0.0,6.0,-98.0,-13.0,-81.0,9.52871895379886,9.0,69.0625,7183.5625
21,1.0,0.0,0.0,6.0,-92.37137961520602,-12.471281046201138,-74.24595133227496,10.0,7.5,68.8125,7882.5625
22,1.0,0.0,0.0,6.0,-91.69150515661919,-12.0,-76.40656439810233,10.0,9.75,76.21875,7097.25
23,1.0,0.0,0.0,6.0,-99.0,-12.0,-83.55489532554687,10.0,8.0,78.0,6599.1875
24,1.0,0.0,0.0,6.0,-105.0,-12.0,-90.0,7.0,8.0,75.0625,6210.5625
25,1.0,0.0,0.0,6.0,-106.0,-12.0,-88.0,7.0,7.0,76.75,6411.875
26,1.0,0.0,0.0,6.0,-104.0,-12.0,-88.0,7.0,7.0,53.5625,5187.9375
27,1.0,0.0,0.0,6.0,-104.0,-12.0,-89.55489532554688,5.999999999999998,7.0,60.3125,4748.25
28,1.0,0.0,0.0,6.0,-109.0,-14.0,-92.47128104620114,3.9999999999999996,7.0,48.3125,3782.59375
29,1.0,0.0,0.0,6.0,-110.55489532554688,-14.0,-94.0,2.7540486677250415,7.0,44.875,3603.3125
30,1.0,0.0,0.0,6.0,-108.22020246011414,-13.47128104620114,-89.88587392869641,2.7540486677250415,7.0,49.3125,4762.9375
31,1.0,0.0,0.0,6.0,-108.22020246011414,-13.885873928696416,-94.0,3.114126071303585,5.0,31.1875,2161.25
32,1.0,0.0,0.0,6.0,-113.47128104620114,-15.0,-94.0,1.1141260713035854,5.0,24.0,1534.9375
33,1.0,0.0,0.0,6.0,-114.47128104620114,-15.24280839205794,-94.0,-0.6855591497639485,6.0,26.90625,1814.53125
34,1.0,0.0,0.0,6.0,-116.0,-16.0,-92.88587392869641,-3.0000000000000004,6.0,30.25,1818.75
35,1.0,0.0,0.0,6.0,-107.0,-11.0,-89.65388706731025,2.0,7.0,50.875,3528.5
36,1.0,0.0,0.0,6.0,-106.0,-13.0,-88.32055373397692,7.0,8.5,60.875,5236.875
37,1.0,0.0,0.0,6.0,-105.0,-12.0,-84.24595133227497,7.0,8.0,81.8125,6734.125
38,1.0,0.0,0.0,6.0,-95.93196754281823,-12.0,-78.24595133227496,7.0,9.25,60.6875,4992.5625
39,1.0,0.0,0.0,6.0,-96.03707201955287,-12.0,-82.0,8.75404866772504,8.0,65.6875,6811.0
40,1.0,0.0,0.0,6.0,-97.55489532554688,-12.0,-80.81698947597886,10.0,9.5,76.5625,7184.9375
41,1.0,0.0,0.0,6.0,-94.24595133227497,-12.0,-77.0,10.528718953798858,9.0,74.3125,8063.625
42,1.0,0.0,0.0,6.0,-87.37137961520602,-12.0,-71.46512915850457,12.114126071303584,9.0,86.5625,9212.75
43,1.0,0.0,0.0,6.0,-84.47128104620114,-12.471281046201138,-66.13179582517124,13.0,10.0,124.25,10104.6875
44,1.0,0.0,0.0,6.0,-82.24595133227496,-11.885873928696416,-61.0,13.52871895379886,12.0,95.0,10456.25
45,1.0,0.0,0.0,6.0,-78.0,-9.0,-61.0,15.0,12.0,85.9375,10175.3125
46,1.0,0.0,0.0,6.0,-79.0,-12.0,-62.55489532554687,16.999999999999996,12.0,124.875,11207.6875
47,1.0,0.0,0.0,6.0,-79.0,-12.0,-63.24595133227496,16.999999999999996,12.0,109.5625,10259.1875
48,1.0,0.0,0.0,6.0,-90.0,-12.0,-69.81698947597886,13.0,9.0,98.5625,8031.4375
49,1.0,0.0,0.0,6.0,-85.0,-12.0,-71.88587392869641,11.0,8.5,61.8125,5605.1875
50,1.0,0.0,0.0,6.0,-82.0,-11.0,-62.191505156619186,12.0,12.25,95.0,8298.4375
51,1.0,0.0,0.0,6.0,-82.88587392869641,-11.47128104620114,-58.67834375675553,15.962927980447141,11.5,189.75,14731.375
52,1.0,0.0,0.0,21.5,-80.03707201955285,-11.47128104620114,-62.55489532554687,18.528718953798858,13.5,229.1875,14374.25
53,1.0,0.0,0.0,37.0,-78.47128104620114,-11.0,-63.55489532554688,17.75404866772504,13.5,115.5,12890.1875
54,1.0,0.0,0.0,37.0,-77.24595133227496,-10.47128104620114,-60.0,17.114126071303588,15.0,198.1875,15015.125
55,1.0,0.0,0.0,37.0,-75.47128104620114,-10.0,-57.55489532554687,19.114126071303584,14.0,163.9375,14364.375
56,1.0,0.0,0.0,37.0,-75.88587392869641,-9.471281046201138,-61.816989475978865,19.528718953798858,15.0,148.125,13501.125
57,1.0,0.0,0.0,37.0,-77.68555914976395,-9.0,-65.88587392869641,19.257191607942058,12.0,143.25,11698.78125
58,1.0,0.0,0.0,37.0,-80.0,-9.0,-63.88587392869641,20.0,11.0,168.0,15451.3125
59,1.0,0.0,0.0,37.0,-80.0,-10.0,-63.0,20.0,12.0,233.875,13933.25
60,1.0,0.0,0.0,37.0,-80.0,-11.0,-63.0,20.0,12.0,192.5625,15066.1875
61,1.0,0.0,0.0,37.0,-77.0,-9.0,-61.55489532554688,19.0,12.0,193.0625,12005.3125
62,1.0,0.0,0.0,37.0,-80.0,-10.0,-65.81698947597887,19.0,10.5,93.5,10332.5
63,1.0,0.0,0.0,37.0,-86.0,-12.0,-63.03707201955285,15.0,10.5,87.875,10380.75
64,1.0,0.0,0.0,37.0,-81.0,-12.0,-64.0,14.0,11.0,113.53125,9875.0625
65,1.0,0.0,0.0,37.0,-79.88587392869641,-11.47128104620114,-62.88587392869641,15.114126071303584,13.0,163.0625,11364.9375
66,1.0,0.0,0.0,37.0,-81.74457620067878,-11.47128104620114,-64.7445762006788,15.528718953798858,13.0,137.75,11873.1875
67,1.0,0.0,0.0,37.0,-91.88587392869641,-12.471281046201138,-72.81698947597886,15.528718953798858,12.0,107.6875,12106.625
68,1.0,0.0,0.0,37.0,-94.24595133227497,-13.0,-79.0,15.528718953798858,11.0,111.0,8801.75
69,1.0,0.0,0.0,37.0,-94.88587392869641,-13.0,-77.0,15.528718953798858,11.0,157.25,9949.5
70,1.0,0.0,0.0,37.0,-94.88587392869641,-13.0,-79.0,15.528718953798858,9.0,99.3125,7287.6875
71,1.0,0.0,0.0,37.0,-95.47128104620114,-13.0,-79.0,14.114126071303584,9.0,72.5,7168.1875
72,1.0,0.0,0.0,37.0,-95.47128104620114,-12.74280839205794,-78.81205029187154,12.75719160794206,7.75,74.5,6549.1875
73,1.0,0.0,0.0,37.0,-97.0,-12.0,-78.56205029187153,12.0,11.0,87.5,7609.9375
74,1.0,0.0,0.0,37.0,-94.0,-10.0,-78.31205029187154,14.0,9.0,75.0625,6671.875
75,1.0,0.0,0.0,37.0,-89.0,-12.0,-78.06205029187153,13.0,12.5,92.125,7502.3125
76,1.0,0.0,0.0,37.0,-96.0,-10.0,-82.0,12.0,11.0,66.8125,6664.1875
77,1.0,0.0,0.0,37.0,-98.0,-12.0,-80.88587392869641,13.0,11.5,109.4375,7011.625
78,1.0,0.0,0.0,37.0,-100.18555914976395,-13.47128104620114,-82.88964659705938,12.25719160794206,7.5,87.03125,6607.96875
79,1.0,0.0,0.0,37.0,-100.47128104620114,-12.885873928696414,-84.08964659705939,10.445104674453125,8.0,60.5,6813.0625
80,1.0,0.0,0.0,37.0,-101.24595133227496,-12.0,-86.81698947597887,6.445104674453126,4.0,47.6875,4388.9375
81,1.0,0.0,0.0,37.0,-103.47128104620114,-12.471281046201138,-88.24595133227496,3.52871895379886,8.0,45.9375,4746.875
82,1.0,0.0,0.0,37.0,-104.47128104620114,-13.47128104620114,-88.0,2.5287189537988604,6.0,45.1875,3306.25
83,1.0,0.0,0.0,37.0,-105.24280839205794,-13.742808392057942,-91.88587392869641,-0.1329395624330565,5.75,31.46875,2274.4375
84,1.0,0.0,0.0,37.0,-106.0,-13.0,-89.0,-11.0,2.0,34.875,2476.5
85,1.0,0.0,0.0,37.0,-105.0,-9.0,-88.74280839205794,2.0,5.5,61.125,5350.8125
86,1.0,0.0,0.0,37.0,-110.0,-13.0,-88.88587392869641,9.0,9.0,59.75,5773.6875
87,1.0,0.0,0.0,37.0,-107.0,-12.0,-93.0,10.0,9.0,55.9375,6309.8125
88,1.0,0.0,0.0,37.0,-111.0,-12.0,-93.74280839205794,8.0,8.25,48.15625,5385.03125
89,1.0,0.0,0.0,37.0,-109.88587392869641,-12.0,-93.0,8.52871895379886,9.0,76.625,6662.125
90,1.0,0.0,0.0,52.0,-109.0,-12.0,-91.88587392869641,8.52871895379886,9.0,56.625,5626.9375
91,1.0,0.0,0.0,67.0,-107.88587392869641,-12.0,-92.24595133227496,9.114126071303586,8.5,65.1875,4952.375
92,1.0,0.0,0.0,67.0,-108.24595133227496,-12.0,-92.24595133227496,9.52871895379886,8.0,58.625,4352.625
93,1.0,0.0,0.0,67.0,-101.67834375675554,-12.0,-82.0,7.445104674453125,10.0,70.6875,4897.8125
94,1.0,0.0,0.0,67.0,-99.68555914976395,-11.74280839205794,-87.18555914976395,3.754048667725041,6.5,45.3125,4689.90625
95,1.0,0.0,0.0,67.0,-102.0,-11.0,-81.81698947597886,-1.0,4.0,63.9375,4739.875
96,1.0,0.0,0.0,67.0,-100.0,-12.0,-88.22020246011414,5.0,7.0,63.5625,6153.1875
97,1.0,0.0,0.0,67.0,-103.0,-14.0,-94.0,3.9999999999999996,8.5,46.4375,3734.0
98,1.0,0.0,0.0,67.0,-112.0,-14.0,-86.55489532554688,1.0000000000000004,7.5,59.4375,5447.25
99,1.0,0.0,0.0,67.0,-106.0,-12.0,-92.0,3.0,6.0,61.5625,4737.0625
