,is4G,is3G,is2G,speed,RSRP,RSRQ,RSSI,SNR,CQI,UL_Bandwidth,bandwidth
0,1.0,0.0,0.0,0.0,-103.88587392869641,-13.47128104620114,-86.88587392869641,2.1141260713035854,6.0,11.9375,619.9375
1,1.0,0.0,0.0,0.0,-103.0,-13.0,-90.0,2.0,6.0,7.75,420.0625
2,1.0,0.0,0.0,0.0,-104.0,-16.0,-88.24595133227496,-1.0,5.0,12.5,459.875
3,1.0,0.0,0.0,0.0,-106.88587392869641,-14.471281046201142,-87.68555914976395,-0.24280839205793991,5.0,11.65625,573.4375
4,1.0,0.0,0.0,0.0,-104.03707201955285,-13.47128104620114,-86.24595133227496,0.7540486677250413,8.0,21.875,1181.9375
5,1.0,0.0,0.0,0.0,-102.88587392869641,-13.47128104620114,-86.88587392869641,2.0,7.0,11.875,637.4375
6,1.0,0.0,0.0,0.0,-99.22020246011414,-12.885873928696414,-82.03707201955285,2.0,7.0,14.875,803.0625
7,1.0,0.0,0.0,0.0,-98.40656439810233,-12.471281046201138,-86.47128104620114,1.3144408502360512,5.0,15.8125,853.4375
8,1.0,0.0,0.0,0.0,-104.0,-14.0,-88.0,-0.47128104620113964,5.0,11.6875,631.125
9,1.0,0.0,0.0,0.0,-105.0,-14.0,-87.24595133227496,0.0,6.0,10.875,589.1875
10,1.0,0.0,0.0,0.0,-106.0,-14.0,-87.0,0.0,7.0,23.1875,637.4375
11,1.0,0.0,0.0,0.0,-104.0,-14.0,-84.55489532554688,2.0,6.0,23.0,583.625
12,1.0,0.0,0.0,0.0,-103.24280839205795,-14.0,-85.18555914976395,1.2571916079420598,5.0,15.1875,775.09375
13,1.0,0.0,0.0,0.0,-103.47128104620114,-14.0,-86.0,0.11412607130358521,5.0,15.0625,812.1875
14,1.0,0.0,0.0,0.0,-103.47128104620114,-14.0,-86.0,-1.0,5.0,15.0,814.3125
15,1.0,0.0,0.0,0.0,-99.81698947597889,-13.47128104620114,-82.0725407530773,-0.47128104620113964,7.0,30.4375,1250.5
16,1.0,0.0,0.0,0.0,-98.0,-13.0,-81.0,0.0,8.0,29.21875,1578.96875
17,1.0,0.0,0.0,0.0,-100.0,-14.0,-83.0,2.0,9.0,26.6875,1458.0625
18,1.0,0.0,0.0,0.0,-99.0,-12.0,-81.88587392869641,3.0,7.0,24.0625,1339.1875
19,1.0,0.0,0.0,0.0,-98.0,-14.0,-81.0,0.0,5.0,35.625,1920.125
20,1.0,0.0,0.0,0.0,-98.74280839205794,-13.242808392057942,-81.0,3.9274592469226848,5.0,40.40625,2262.625
21,1.0,0.0,0.0,0.0,-99.0,-13.0,-81.0,6.114126071303585,5.0,39.625,2195.5
22,1.0,0.0,0.0,0.0,-99.0,-13.0,-81.0,7.0,5.0,44.25,2505.1875
23,1.0,0.0,0.0,0.0,-99.0,-13.0,-81.0,7.0,5.0,42.3125,2296.1875
24,1.0,0.0,0.0,0.0,-99.0,-13.0,-81.0,7.528718953798858,5.0,41.9375,2268.1875
25,1.0,0.0,0.0,0.0,-99.0,-13.0,-81.0,8.0,5.0,38.0,2042.40625
26,1.0,0.0,0.0,0.0,-99.0,-13.0,-81.0,8.0,5.0,43.8125,2389.125
27,1.0,0.0,0.0,0.0,-99.0,-13.0,-81.0,9.0,5.0,44.1875,2459.6875
28,1.0,0.0,0.0,0.0,-99.0,-13.0,-81.0,9.0,5.0,53.9375,1858.625
29,1.0,0.0,0.0,0.0,-99.0,-13.0,-81.0,5.0,5.0,69.59375,1529.0
30,1.0,0.0,0.0,0.0,-99.0,-13.0,-81.0,4.52871895379886,5.0,89.4375,1890.75
31,1.0,0.0,0.0,0.0,-98.47128104620114,-13.47128104620114,-81.0,4.52871895379886,5.0,32.4375,1785.875
